Step,Value
0,-1448.4239013671875
1,-16215.2841796875
2,-29826.578125
3,-38707.45390625
4,-43073.11015625
5,-43035.56875
6,-39247.871875
7,-34216.003125
8,-29966.81484375
9,-26598.237109375
10,-24137.8375
11,-22071.619140625
12,-20468.693359375
13,-18851.8875
14,-17739.8671875
15,-16745.016796875
16,-16141.5837890625
17,-15045.505859375
18,-14321.5587890625
19,-13522.6955078125
20,-13507.1193359375
21,-12924.4953125
22,-12534.6205078125
23,-11506.081640625
24,-11375.0970703125
25,-10991.31328125
26,-10290.1986328125
27,-10493.61015625
28,-9823.1341796875
29,-9595.8794921875
30,-9292.2703125
31,-9162.1884765625
32,-8781.8923828125
33,-8566.37470703125
34,-8221.7685546875
35,-8016.875390625
36,-7771.67099609375
37,-7352.08232421875
38,-7654.9775390625
39,-7382.65029296875
40,-6739.68212890625
41,-6991.49853515625
42,-6518.25283203125
43,-6478.5021484375
44,-6242.5244140625
45,-6289.37685546875
46,-5916.9654296875
47,-5821.53759765625
48,-5719.2875
49,-5467.0890625
50,-5278.0384765625
51,-5366.33271484375
52,-5210.29609375
53,-4923.555859375
54,-5218.97646484375
55,-4844.757421875
56,-4634.75380859375
57,-4634.32421875
58,-4626.476318359375
59,-4194.627197265625
60,-4204.359765625
61,-4226.033740234375
62,-4269.6984375
63,-4117.610498046875
64,-3882.185693359375
65,-3972.342431640625
66,-3760.830029296875
67,-3807.10380859375
68,-3474.810595703125
69,-3658.890771484375
70,-3542.992236328125
71,-3361.014453125
72,-3408.8787109375
73,-3279.582666015625
74,-3269.058251953125
75,-3202.932861328125
76,-3232.445458984375
77,-3023.060693359375
78,-3022.159033203125
79,-3044.318603515625
80,-2957.606982421875
81,-2848.784375
82,-2778.6595703125
83,-2574.774658203125
84,-2715.880712890625
85,-2579.024658203125
86,-2783.11494140625
87,-2598.609912109375
88,-2496.257421875
89,-2591.155615234375
90,-2419.24814453125
91,-2342.0730224609374
92,-2355.115087890625
93,-2236.48720703125
94,-2135.09033203125
95,-2292.847021484375
96,-2119.257421875
97,-2231.721533203125
98,-1999.2521484375
99,-2011.1779052734375
100,-2085.49912109375
101,-1934.51552734375
102,-1820.5482421875
103,-1988.9462646484376
104,-1873.47138671875
105,-1673.594921875
106,-1922.9505859375
107,-1640.3198974609375
108,-1841.6882080078126
109,-1658.8041015625
110,-1532.984228515625
111,-1622.3229248046875
112,-1593.3439208984375
113,-1618.81064453125
114,-1593.177490234375
115,-1479.672412109375
116,-1452.5478759765624
117,-1355.9526123046876
118,-1361.577392578125
119,-1229.4346923828125
120,-1363.4290771484375
121,-1432.3239013671875
122,-1314.880224609375
123,-1302.451708984375
124,-1159.7618408203125
125,-1132.3342529296874
126,-1188.9220581054688
127,-1476.638037109375
128,-1000.2703002929687
129,-1308.882421875
130,-1108.5895629882812
131,-1342.3776611328126
132,-1029.033056640625
133,-1245.8304321289063
134,-848.5415344238281
135,-1196.4312866210937
136,-882.8427978515625
137,-937.8786987304687
138,-1020.8547729492187
139,-870.2330444335937
140,-1107.8709716796875
141,-842.4704467773438
142,-1083.6459594726562
143,-868.7887084960937
144,-915.581103515625
145,-831.94306640625
146,-927.1032470703125
147,-837.9466186523438
148,-859.3955078125
149,-953.891943359375
150,-725.9035034179688
151,-902.779638671875
152,-657.5029907226562
153,-831.4081665039063
154,-619.4067749023437
155,-1017.5307495117188
156,-623.7977416992187
157,-857.9948974609375
158,-587.8786254882813
159,-788.0991821289062
160,-659.0043823242188
161,-833.5612060546875
162,-633.8263671875
163,-655.6122497558594
164,-536.4497924804688
165,-548.6013610839843
166,-492.8838317871094
167,-578.19814453125
168,-548.23515625
169,-607.8355834960937
170,-549.7968872070312
171,-541.3842163085938
172,-384.5031005859375
173,-606.99189453125
174,-356.1531478881836
175,-554.1952026367187
176,-289.6251647949219
177,-472.24199829101565
178,-499.98724975585935
179,-332.5167724609375
180,-377.2598449707031
181,-510.15671997070314
182,-469.1584045410156
183,-601.4689270019531
184,-415.9242431640625
185,-308.146142578125
186,-302.8802635192871
187,-222.98857727050782
188,-252.42418823242187
189,-462.85606384277344
190,-377.96298084259035
191,-352.1614685058594
192,-455.01069831848145
193,-383.32379455566405
194,-315.23839874267577
195,-387.62359008789065
196,-291.7136806488037
197,-160.4726135253906
198,-151.41083526611328
199,-334.5851989746094
200,-375.2234283447266
201,-317.56878967285155
202,-340.8754638671875
203,-295.41753540039065
204,-327.5726745605469
205,-230.91407623291016
206,-307.7366241455078
207,-269.99291839599607
208,-274.29553680419923
209,-330.5774215698242
210,-224.33296813964844
211,-129.21058502197266
212,-271.7391296386719
213,-236.92766647338868
214,-344.31358032226564
215,-168.58075332641602
216,-208.61781005859376
217,-219.96272711753846
218,-175.10130767822267
219,-220.65527687072753
220,-149.69156408309937
221,-43.66818771362305
222,-307.5268779754639
223,-42.61089096069336
224,-436.35606994628904
225,-148.91295852661133
226,-375.20836486816404
227,-256.0512893676758
228,-349.2174377441406
229,-470.1753047943115
