Step,Value
0,-8293.09375
1,-4393.62578125
2,-2420.12578125
3,-1449.59609375
4,-1173.05
5,-849.671875
6,-602.5578125
7,-596.18359375
8,-401.83515625
9,-336.6890625
10,-224.72578125
11,-189.60625
12,-94.74375
13,-136.21796875
14,-136.4625
15,118.325
16,105.465625
17,-59.52890625
18,-99.57265625
19,8.34375
20,-31.475
21,-63.27578125
22,-49.801171875
23,5.449609375
24,-6.44921875
25,31.180859375
26,13.516796875
27,3.8455078125
28,-78.6138671875
29,95.11669921875
30,-10.489453125
31,-37.68291015625
32,-90.56005859375
33,9.67763671875
34,15.1427978515625
35,26.09974365234375
36,-68.03284912109375
37,-50.88486328125
38,78.7716796875
39,20.31610107421875
40,-23.68709716796875
41,-85.06422424316406
42,-39.37626953125
43,-62.746710205078124
44,-37.456597900390626
45,-85.07433471679687
46,-73.23881297111511
47,-80.38334197998047
48,-182.01751708984375
49,-90.07603149414062
50,-12.76697998046875
51,-108.21597900390626
52,-138.48166065216066
53,-45.48484230041504
54,-138.54877777099608
55,-128.73345031738282
56,-116.5259002685547
57,-89.27720966339112
58,-40.84957227706909
59,-100.50169186592102
60,-168.88555278778077
61,148.96793627738953
62,-40.8464072227478
63,271.99368839263917
64,-190.3268018722534
65,-199.3377860069275
66,-148.08551788330078
67,-223.93087577819824
68,-218.29352493286132
69,-219.04776306152343
70,-123.55182266235352
71,-191.42783184051513
72,-64.28002836704255
73,-103.010911103338
74,-1231.7462192155422
75,-50.91078357696533
76,-298.4953979730606
77,188.93131678104402
78,-429.9248918533325
79,-23.002896118164063
80,-64.76192590892315
81,-124.03702196199447
82,-138.79121910333635
83,-68.30953254699708
84,-121.83486480712891
85,-145.7738067626953
86,-117.83370819091797
87,-104.28673706054687
88,-122.95002746582031
89,-35.380462646484375
90,-86.97313842773437
91,-34.83885192871094
92,-50.65452117919922
93,-94.37319793701172
94,47.541151428222655
95,-32.64167704582214
96,-52.179180240631105
97,-63.6518226146698
98,-69.89768152236938
99,-59.15869297981262
100,-74.81992521286011
101,-63.34317288398743
102,-44.86029987335205
103,-41.06352167129516
104,-43.955793952941896
105,-63.38127212524414
106,-63.87452268661
107,-77.31124338149093
108,-80.26421533823013
109,-93.1045350432396
110,-44.029764199256896
111,-40.02040885090828
112,-32.335364890098575
113,-69.22882964909077
114,-79.40800852775574
115,-63.57843977212906
