Step,Value
0,-42351.40703125
1,-66544.2703125
2,-66134.07578125
3,-65300.8625
4,-64928.3359375
5,-66957.55703125
6,-68258.5453125
7,-70210.2703125
8,-71436.734375
9,-73694.61484375
10,-75687.85
11,-77623.3953125
12,-79125.0265625
13,-77278.8078125
14,-72857.34765625
15,-73788.9859375
16,-70641.51953125
17,-57629.10234375
18,-53619.3265625
19,-45069.75703125
20,-39442.32578125
21,-32789.8375
22,-32776.8125
23,-23470.932421875
24,-22031.290625
25,-21111.8279296875
26,-16260.51953125
27,-18884.1216796875
28,-15141.184765625
29,-12124.96376953125
30,-11346.30908203125
31,-9458.33896484375
32,-10325.69423828125
33,-10812.005078125
34,-9183.909033203125
35,-3591.8150634765625
36,-4387.477221679687
37,-5766.068212890625
38,-6471.630126953125
39,-4325.012255859375
40,-3337.6559936523436
41,-3179.1657592773436
42,-2902.1114135742187
43,-2536.5038513183595
44,-2252.696911621094
45,-2578.515473937988
46,-2369.7323301792144
47,-2491.897607421875
48,-1963.2457153320313
49,-2085.6896362304688
50,-1796.9766845703125
51,-1628.189260864258
52,-1413.6871705055237
53,-1525.3231994628907
54,-1635.1971008300782
55,-1381.768427658081
56,-2034.8069581985474
57,-912.1828657627105
58,-1575.9726083755493
59,-1334.1239174842835
60,-959.6387068748475
61,-909.0594577789307
62,-722.3875980854034
63,-1112.9547176361084
64,-433.1718319892883
65,-397.5677255630493
66,-2239.646150970459
67,-1486.2308277130128
68,-828.6333984375
69,-1970.0581106185914
70,-1176.0859741210938
71,-1402.7814262390136
72,-1533.8812727451325
73,-1096.665639191866
74,-6655.869466854632
75,-6387.444599950313
76,-8722.669487404823
77,-5676.666079835593
78,-6284.166578483581
79,-1622.2502882003785
80,-1543.8477896869183
81,-1084.1275761783122
82,-865.9705111503602
83,-1013.1282653808594
84,-647.1572463989257
85,-1272.2589721679688
86,-449.24900970458987
87,-1363.4118453979493
88,-950.9244506835937
89,-1135.8350830078125
90,-976.0396759033204
91,-810.0747833251953
92,-1030.3397888183595
93,-855.0909362792969
94,-1260.0767349243165
95,-1118.213980770111
96,-1445.6070982933045
97,-833.9420481204986
98,-1368.9508008241653
99,-1046.85109064579
100,-1095.1051172018051
101,-1007.9137219905854
102,-1225.9037512302398
103,-1598.7658501923083
104,-1188.7834869027138
105,-1082.3002759933472
106,-1207.548535139626
107,-1153.3267950506881
108,-1090.5120215015486
109,-761.7360160179436
110,-1612.6101287394763
111,-1049.571604962647
112,-1269.7815630972386
113,-1156.848269289732
114,-831.8061331763863
115,-1149.9332431435585
116,-694.189975965023
117,-544.4720606671181
118,-1101.474963637162
119,-1049.6658933012745
120,-968.5480576192961
121,-438.9472361852415
122,-1131.714954370167
123,-865.6262826889754
124,-1273.952682263311
125,-880.3052188035566
126,-1128.5778998224996
127,-1156.6706869397779
128,-704.7572411445435
129,-575.1193711280823
130,-732.9058000564576
131,-1140.2729524612428
132,-1081.3291274070739
133,-704.8372314453125
134,-606.3859856605529
135,9.889952087402344
136,-126.58522090911865
137,56.40579795837401
138,-78.68768095970154
139,-123.31227736473083
140,-51.612322616577146
141,-90.73497457504274
142,-447.69380375752223
143,-820.9445337295532
144,-840.7734936714172
145,7.38573842048645
146,-57.97711391448975
147,-143.32099647521972
148,-97.71246614456177
149,-108.80217018127442
150,-30.32399263381958
151,21.01722984313965
152,-45.86689188480376
153,10.821423874795437
154,-150.4060097378213
155,-141.85303469896317
156,-23.25811758041382
157,-82.7058382987976
158,-64.28978071212768
159,-115.33833649381995
160,-37.94863413274288
161,-230.7254120491445
162,-107.451243019104
163,-75.75014402866364
164,-186.18772506713867
165,-208.98768958300352
166,-137.09079857617616
167,-204.03919466733933
168,-128.96503001451492
169,-157.1731252670288
170,-287.4011781692505
171,-297.07949886322024
172,-270.5053693771362
173,-842.3649002075196
174,-606.4443252563476
175,-627.4579751968383
176,-422.11602249145506
177,-282.47116775512694
178,-476.3320043563843
179,-371.20906963348386
180,-548.0265384674072
181,-554.6472425460815
182,-296.8140531241894
183,-338.14676730036734
184,-342.54534462690356
185,-601.0587560653687
186,-469.39176788330076
187,-647.6604742050171
188,-510.302054977417
189,-540.403372001648
190,-297.48493270874025
191,-493.8595989227295
192,-498.27553672790526
193,-598.4857925415039
194,-315.0396858215332
195,-375.86873931884764
196,-304.10928382873533
197,-406.4032009124756
198,-246.9684996634722
199,-359.56214675307274
200,-271.7061431884766
201,-282.19462740421295
202,-531.7416618347168
203,-630.0488796234131
204,-240.55314846038817
205,-233.195161819458
206,-246.46587314605713
207,-328.29333610534667
208,-314.41278076171875
209,-359.48369522094725
210,-507.4876886367798
211,-277.8677221298218
212,-547.6998929977417
213,-564.8554061889648
214,-148.67272186279297
215,-482.4798896789551
216,-383.43654880523684
217,-344.16480922698975
218,-279.0795497894287
219,-434.07800750732423
220,-454.9873474121094
221,-460.8700344085693
222,-277.3080307006836
223,-209.7728199005127
224,-332.5291580200195
225,-330.17832334637643
226,-209.21667234897615
227,-396.3909004211426
228,-283.70485018491746
229,-131.07128779888154
230,-159.81235432624817
231,-200.4915165781975
232,-277.0402495145798
233,-336.67170238494873
234,-127.03754286766052
235,-125.41948699951172
236,-493.8484552383423
237,-446.29235420227053
238,-247.12315158843995
239,-493.41541385650635
240,-465.308797454834
241,-350.5743185043335
242,-440.4729625701904
243,-527.9662551879883
244,-419.49241790771487
245,-311.49029235839845
246,-492.3040479660034
247,-462.03205852508546
248,-413.25976486206054
249,-463.18945465087893
250,-367.9981315612793
251,-723.6682661056518
252,-318.6706718444824
253,-671.2505908966065
254,-327.672957611084
255,-398.0271354675293
256,-439.41638832092286
257,-562.3833477020264
258,-386.98437118530273
259,-361.81517562866213
260,-584.890415763855
261,-419.12563095092776
262,-247.2030876159668
263,-545.485403251648
264,-551.1529792785644
265,-493.0204849243164
266,-435.06489791870115
267,-569.9997249603272
268,-524.4230818748474
269,-323.53265342712405
270,-266.6924389600754
271,-67.67086072564125
272,-175.98956991136075
273,-368.89969762526454
274,-92.37294741272926
275,-114.50276739597321
276,-420.9315837860107
277,-209.76485362052918
278,-32.470780372619615
279,-234.15715084075927
280,-159.03042793273926
281,-260.3195306777954
282,-242.56252479553223
283,-249.2711380004883
284,-310.7484817504883
285,-276.7097743988037
286,-345.87219047546387
287,-233.83195037841796
288,-375.6480595588684
289,-356.2433312416077
290,-291.3955017089844
291,-372.9137592315674
292,-570.3154468536377
293,-145.0565706729889
294,-99.6845829963684
295,-122.4189474105835
296,-71.46183590888977
297,-224.612162733078
298,-148.61823706626893
299,-104.43865170478821
300,-238.07115111351013
301,-224.6576409816742
302,-121.7640606880188
303,-180.47577085494996
304,-167.27437858581544
305,-160.49783215522766
306,-212.9463972091675
307,-151.65001502037052
308,-443.9961515426636
309,-392.0732092857361
310,-349.5981632232666
311,-263.4801933288574
312,-327.1537281036377
313,-177.70338306427
314,-286.2896152496338
315,-167.05424671173097
316,-145.21713112443686
317,-256.06215399205684
318,-44.33455308079719
319,-150.89276371002197
320,-207.78756022453308
321,-97.04659147262574
322,-255.99977660179138
323,-130.06774940490723
324,-98.4742805480957
325,-159.99840846061707
326,-128.11272752285004
327,-180.98193111419678
328,-287.9730242729187
329,-288.43279213905333
330,-129.68103172779084
331,-51.68781490325928
332,-251.67905325889586
333,-247.34087705612183
334,-322.4205415725708
335,-182.9275742530823
336,-34.07725114822388
337,-109.18604677915573
338,-31.3674972102046
339,-88.74692590832711
340,37.20643253326416
341,47.84488401412964
342,-168.49163122177123
343,-181.6175064086914
344,-135.02695951461791
345,-143.2141062736511
346,-149.54619731903077
347,30.298541355133057
348,-26.166906452178956
349,-52.4178966999054
350,-17.788520956039427
351,-127.43603055477142
352,-25.901339423656463
353,53.22475519776344
354,-59.90094207525253
355,11.03612642288208
356,-238.80435733795167
357,-186.36605701446533
358,-231.4609983444214
359,-371.09552097320557
360,-526.0609121322632
361,-271.65842208862307
362,-317.6881110191345
363,-232.60755939483641
364,-322.43012523651123
365,-541.2868503570556
366,-354.83634481430056
367,-420.4067449569702
368,-453.28533086776736
369,-237.0457013130188
370,-438.2975372314453
371,-270.5734718322754
372,-483.38780908584596
373,-234.17986564636232
374,-155.06586532592775
375,-217.00204524993896
376,-191.88116455078128
377,-233.84489631652832
378,-223.78479385375977
379,-358.8784979820251
380,-316.9734878540039
381,-228.73219699859618
382,-66.51192412376405
383,-233.2197479248047
384,-75.01027393341064
385,-301.4596939086914
386,-93.57322750091552
387,-194.25632553100587
388,41.89248316884041
389,-78.91886863708496
390,-65.84930965304375
391,-49.88231595158577
392,-37.59402331113815
393,35.74921718835831
394,61.606631326675405
395,21.45644155740738
396,23.52857307195664
397,-34.820019888877866
398,-7.640361821651458
399,-8.915289974212646
400,38.79654631614686
401,-93.98783222436904
402,-8.189778232574463
403,-25.270255041122436
404,-8.939796817302703
405,-15.611685228347778
406,-75.84579683542253
407,-85.86374116241932
408,-99.09793409875843
409,-51.37257210834419
