Step,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.2
163,0.1749049425125122
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.2
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.2
181,0.0
182,0.0
183,0.0
184,0.2
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.2
193,0.0
194,0.0
195,0.0
196,0.00227272734045982
197,0.2
198,0.4
199,0.4
200,0.2
201,0.0
202,0.0
203,0.2
204,0.0
205,0.0
206,0.2
207,0.2
208,0.0
209,0.2
210,0.2
211,0.0
212,0.2
213,0.2
214,0.0
215,0.4
216,0.4
217,0.0
218,0.2
219,0.2
220,0.2
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.4
228,0.0
229,0.4
230,0.1871212124824524
231,0.2
232,0.0
233,0.2
234,0.2
235,0.0
236,0.4
237,0.0
238,0.4
239,0.2
240,0.4
241,0.0
242,0.6
243,0.4
244,0.6
245,0.4
246,0.4
247,0.6
248,0.2
249,0.7992424249649048
250,0.0
251,0.2
252,0.2
253,0.6
254,0.2
255,0.24182509481906891
256,0.4
257,0.4
258,0.2
259,0.6
260,0.2
261,0.2
262,0.2
263,0.2
264,0.4
265,0.2
266,0.4
267,0.0
268,0.2
269,0.2
270,0.2
271,0.4
272,0.0
273,0.4
274,0.0
275,0.2
276,0.0
277,0.4
278,0.4
279,0.2
280,0.2
281,0.4
282,0.00227272734045982
283,0.4
284,0.4
285,0.0
286,0.2
287,0.4
288,0.2
289,0.4
290,0.2
291,0.4
292,0.2
293,0.2
294,0.4
295,0.0
296,0.3863636374473572
297,0.2
298,0.2
299,0.46439393758773806
300,0.4
301,0.4
302,0.3803030252456665
303,0.4
304,0.4
305,0.4
306,0.40151515156030654
307,0.034090909361839276
308,0.4060606062412262
309,0.20757575780153276
310,0.20075757578015327
311,0.2
312,0.4
313,0.2
314,0.4
315,0.4
316,0.6
317,0.6
318,0.1560606002807617
319,0.2
320,0.2
321,0.418913471698761
322,0.7446969747543335
323,0.4
324,0.4
325,0.4
326,0.00454545468091964
327,0.4939393937587738
328,0.3204545497894287
329,0.04242424368858336
330,0.2
331,0.0
332,0.2
333,0.4818181812763214
334,0.20681818202137947
335,0.2
336,0.2
337,0.0
338,0.2
339,0.2
340,0.4
341,0.4
342,0.0
343,0.2
344,0.2
345,0.4
346,0.4
347,0.4
348,0.1961977243423462
349,0.0
350,0.0
351,0.2
352,0.2
353,0.1992424249649048
354,0.0
355,0.0015209125354886
356,0.00227848831564186
357,0.2
358,0.2
359,0.0
360,0.0
361,0.2
362,0.2
363,0.5431818127632141
364,0.2
365,0.4
366,0.2
367,0.4007575765252113
368,0.2
369,0.2
370,0.2
371,0.40984848514199257
372,0.40075757578015325
373,0.2
374,0.2
375,0.2121212124824524
376,0.2
377,0.2
378,0.375
379,0.20151515156030655
380,0.4
381,0.2
382,0.2
383,0.4
384,0.2
385,0.4
386,0.2
387,0.2
388,0.2462121218442917
389,0.3363636374473572
390,0.385606062412262
391,0.2
392,0.3946969747543335
393,0.2
394,0.2
395,0.2
396,0.2
397,0.5037878751754761
398,0.2
399,0.2
400,0.2
401,0.2
402,0.24848484992980957
403,0.3992424249649048
404,0.3318181872367859
405,0.4
406,0.2
407,0.3803030326962471
408,0.20151515156030655
409,0.2348484843969345
410,0.2
411,0.20757575780153276
412,0.35454545021057127
413,0.2
414,0.2
415,0.2
416,0.2
417,0.3931818202137947
418,0.4
419,0.21363636404275893
420,0.4
421,0.32196969985961915
422,0.2
423,0.40151514708995817
424,0.20681818202137947
425,0.22878787890076638
426,0.4265151500701904
427,0.3757575750350952
428,0.28560606241226194
429,0.2
430,0.2
431,0.20984848514199256
432,0.25075757652521136
433,0.20075757578015327
434,0.39015151262283326
435,0.2090909093618393
436,0.30303030014038085
437,0.2772727251052856
438,0.2386363625526428
439,0.392424238473177
440,0.574228024482727
441,0.39923666715621947
442,0.2
443,0.1969581723213196
444,0.2
445,0.39771863222122195
446,0.1992136187851429
447,0.20673753321170807
448,0.39545454978942873
449,0.2
450,0.3659062013030052
451,0.13840304613113402
452,0.19771863222122193
453,0.06996197700500488
454,0.14372624158859254
455,0.3521920837461948
456,0.08208318948745727
457,0.07224334478378296
458,0.18813515901565553
459,0.3211257100105286
460,0.2
461,0.3992308996617794
462,0.07297787740826606
463,0.40302454233169555
464,0.4068152986466885
465,0.2
466,0.1269961953163147
467,0.19923954010009767
468,0.20075757578015327
469,0.19087452888488768
470,0.19163497686386108
471,0.02281080707907674
472,0.25017283111810684
473,0.4015007548034191
474,0.1607558526098728
475,0.21447458863258362
476,0.023559742420911762
477,0.3079790249466896
478,0.2297298014163971
479,0.013688212633132921
480,0.01825095117092132
481,0.08715865686535834
482,0.07502592280507085
483,0.019743058085441578
484,0.20684410855174065
