Step,Value
0,-1863.5931640625
1,-16389.687109375
2,-30006.057421875
3,-39743.91640625
4,-43713.54375
5,-42844.36171875
6,-37836.1015625
7,-32750.48359375
8,-28781.3328125
9,-25729.859765625
10,-23481.6625
11,-21525.005078125
12,-19705.63125
13,-19077.089453125
14,-17167.4873046875
15,-16597.8796875
16,-15419.7982421875
17,-15046.730859375
18,-14117.8703125
19,-13950.611328125
20,-12944.9916015625
21,-12795.25234375
22,-12536.8142578125
23,-11465.2541015625
24,-11389.889453125
25,-11161.767578125
26,-9962.62265625
27,-9737.35703125
28,-9623.57734375
29,-9426.0455078125
30,-8638.2060546875
31,-8571.24921875
32,-8312.7533203125
33,-8218.33046875
34,-7966.219921875
35,-8098.82412109375
36,-7559.1818359375
37,-7883.01474609375
38,-6968.2064453125
39,-7454.503125
40,-7304.8603515625
41,-6691.32021484375
42,-6621.04794921875
43,-6278.313671875
44,-6466.144921875
45,-5850.25302734375
46,-6290.09375
47,-5783.5630859375
48,-5673.13193359375
49,-5341.2259765625
50,-5352.46640625
51,-5352.5001953125
52,-4950.35087890625
53,-5300.4931640625
54,-5074.0294921875
55,-4645.61748046875
56,-5084.40517578125
57,-4732.802392578125
58,-4406.16728515625
59,-4369.73291015625
60,-4073.5900390625
61,-4601.619970703125
62,-3890.066552734375
63,-3957.19990234375
64,-4077.53056640625
65,-3895.349169921875
66,-3997.569921875
67,-3585.268408203125
68,-3667.35361328125
69,-3512.248828125
70,-3515.1412109375
71,-3751.39580078125
72,-3364.98701171875
73,-3269.2458984375
74,-3432.01318359375
75,-3109.33876953125
76,-3210.422900390625
77,-3175.93134765625
78,-2816.0240234375
79,-2881.698046875
80,-3259.053369140625
81,-2853.1626953125
82,-2959.638623046875
83,-2644.384326171875
84,-2608.895068359375
85,-2569.665283203125
86,-2559.454833984375
87,-2354.8991455078126
88,-2794.859326171875
89,-2253.471923828125
90,-2776.3751953125
91,-2093.8507080078125
92,-2245.1721923828127
93,-2264.047998046875
94,-2452.4754638671875
95,-1871.2380615234374
96,-1899.877587890625
97,-2098.9316650390624
98,-1889.791943359375
99,-2046.92509765625
100,-1946.048193359375
101,-1806.707861328125
102,-1976.075048828125
103,-1627.8381591796874
104,-2004.230712890625
105,-1871.99140625
106,-1704.0748046875
107,-1589.337548828125
108,-1727.977490234375
109,-1536.7382568359376
110,-1563.52822265625
111,-1769.2680908203124
112,-1356.0524169921875
113,-1548.3572021484374
114,-1515.8685302734375
115,-1464.7818115234375
116,-1656.4104248046874
117,-1308.2378173828124
118,-1524.6865234375
119,-1363.160546875
120,-1443.46494140625
121,-1413.9028076171876
122,-1272.5160888671876
123,-1267.1098876953124
124,-1098.5952880859375
125,-1194.8828979492187
126,-1181.6315551757812
127,-1166.9267944335938
128,-1045.96259765625
129,-1371.2430419921875
130,-1260.7876098632812
131,-1099.4864501953125
132,-1062.3871215820313
133,-1144.4826049804688
134,-959.1068359375
135,-1316.363671875
136,-891.8509155273438
137,-879.60693359375
138,-1228.7580688476562
139,-752.2979614257813
140,-1091.786279296875
141,-874.9122802734375
142,-800.0890441894531
143,-944.5055419921875
144,-714.5712005615235
145,-915.1432495117188
146,-1004.4197265625
147,-1011.1312255859375
148,-843.503759765625
149,-1025.3949096679687
150,-642.7801116943359
151,-585.2095092773437
152,-1152.5794555664063
153,-806.9239379882813
154,-938.7551879882812
155,-534.0358123779297
156,-892.8379272460937
157,-607.0055358886718
158,-590.39443359375
159,-607.6866455078125
160,-638.7213958740234
161,-467.2883239746094
162,-346.8743980407715
163,-469.0221862792969
164,-541.2908874511719
165,-490.4248641967773
166,-734.1986511230468
167,-773.5121948242188
168,-303.60158386230466
169,-563.1520416259766
170,-425.95546264648436
171,-553.4352905273438
172,-353.49192504882814
173,-422.5072250366211
174,-577.8961791992188
175,-604.8092102050781
176,-449.40509643554685
177,-576.99560546875
178,-441.6037567138672
179,-300.6640655517578
180,-603.7961975097656
181,-294.38085021972654
182,-393.47658081054686
183,-535.1638305664062
184,-231.96691284179687
185,-213.0308837890625
186,-370.67883148193357
187,-265.9799919128418
188,-327.4976043701172
189,-546.8303436279297
190,-348.0780456542969
191,-384.8013885498047
192,-150.21507568359374
193,-527.53173828125
194,-417.7073913574219
195,-307.65013427734374
196,-289.2511665344238
197,-209.19703674316406
198,-287.0425170898437
199,-195.96471099853517
200,-354.6418792724609
201,-241.86661005020142
202,-310.0910339355469
203,-89.43100461959838
204,-337.82139282226564
205,-91.2781328201294
206,-238.76323776245118
207,-146.22569732666017
208,-328.2102783203125
209,-190.28449454307557
210,-325.70983695983887
211,-218.82583618164062
212,-150.6471923828125
213,-287.51163482666016
214,-260.0491289138794
215,-174.16998596191405
216,-159.36834716796875
217,-339.8777770996094
218,-123.8167938232422
219,-335.3847412109375
220,-89.86815567016602
221,-398.0230880737305
222,-155.69767150878906
223,-237.91584014892578
224,-204.38968772888182
225,-158.85015258789062
226,-216.49692058563232
227,-205.91397666931152
228,-357.6491333007813
229,-81.92622222900391
230,-289.7536148071289
231,-132.56999802589417
232,-200.30761260986327
233,-171.07577629089354
234,-107.12213220596314
235,-340.03807678222654
236,-35.999077224731444
237,-201.22411193847657
238,-112.70372924804687
239,-239.2974536895752
240,-162.09563751220702
241,-86.14614639282226
242,-31.48491554260254
243,-278.0325469970703
244,7.3435974121093635
245,-56.68486785888672
246,-431.05826873779296
247,62.09196662902832
248,-306.4222957611084
249,-18.940753173828124
250,-173.79274063110353
251,-187.48865356445313
252,-92.80499129295349
253,-110.51245040893555
254,-81.66047630310058
255,-47.45777626037598
256,-121.93058700561524
257,-91.71005859375
258,-296.2399690628052
259,14.151995849609374
260,-54.25072765350342
261,-63.62729663848877
262,-165.1890977859497
263,-249.86288299560547
264,-177.41045074462892
265,-334.5152019500732
266,-142.55789680480956
267,-189.723095703125
268,-201.74944372177123
269,-156.65123596191407
270,-231.62771453857422
271,-96.3642547607422
272,-268.87913513183594
273,-165.6004665374756
274,-261.0770599365234
275,-76.54104385375976
276,-273.71028175354
277,-295.0114177703857
278,-204.43535537719725
279,-333.92256088256835
280,-388.9757022857666
281,-506.1723350524902
282,-285.0217712402344
283,-353.146297454834
284,-137.81608123779296
285,-327.9917597651482
286,-560.5108856201172
287,-466.753503036499
288,-268.66139793395996
289,-40.78775634765625
290,-478.8598964691162
291,-4.659780025482172
292,-340.0559417724609
293,-299.5214611053467
294,-268.984375
295,-562.5513130187989
296,-170.86665954589844
297,-239.00228424072264
298,-180.1029266357422
299,-223.87763509750366
300,-102.65178070068359
301,-176.81562156677245
302,-138.60800952911376
303,-87.50932340621948
304,-323.753125
305,-238.38067665100098
306,-311.97333602905275
307,-621.3706127166748
308,-558.9201568603515
309,-402.9652458190918
310,-587.9924987792969
