Step,Value
0,-797.4327514648437
1,-418.10548706054686
2,-272.76983032226565
3,-191.435546875
4,-150.75559692382814
5,-118.78342742919922
6,-93.31469421386718
7,-79.58940734863282
8,-68.82771606445313
9,-60.281866455078124
10,-51.658355712890625
11,-46.40998001098633
12,-40.36759948730469
13,-35.766631317138675
14,-31.319628143310545
15,-29.131044387817383
16,-27.06088752746582
17,-24.2021728515625
18,-21.541680526733398
19,-19.322111892700196
20,-17.960478210449217
21,-16.675211715698243
22,-15.024835968017578
23,-13.888061904907227
24,-13.733848762512206
25,-12.02663345336914
26,-10.83130931854248
27,-10.317862701416015
28,-9.493408393859863
29,-8.979835319519044
30,-8.322184944152832
31,-7.145802116394043
32,-7.070067596435547
33,-7.050007343292236
34,-6.276408386230469
35,-6.008212566375732
36,-5.321137619018555
37,-4.9669294357299805
38,-4.766453266143799
39,-4.5806779861450195
40,-4.080277729034424
41,-3.5858954429626464
42,-3.4191231727600098
43,-3.189096975326538
44,-3.4471227645874025
45,-2.499041795730591
46,-2.55957236289978
47,-2.116341233253479
48,-2.242754673957825
49,-1.7432300806045533
50,-1.9138421297073365
51,-1.8289774179458618
52,-1.6243392944335937
53,-1.4334655284881592
54,-1.3729506015777588
55,-1.0255172729492188
56,-1.0313904881477356
57,-1.049338710308075
58,-0.9164860248565674
59,-0.5235930263996125
60,-1.1038378775119781
61,-1.1048776865005494
62,-0.4114158272743225
63,-0.4234748750925064
64,-0.6774294078350067
65,-0.9866746068000793
66,-0.41965543031692504
67,-0.17780184745788574
68,-1.64038525223732
69,-1.5733002394437787
70,-2.785293281078339
71,-3.8874559581279753
72,-5.295630142092705
73,-5.288955211639404
74,-5.461056820489466
75,-8.990978518128395
76,-9.584620866179467
77,-10.682160669565201
78,-12.00096435546875
79,-9.230722019076348
80,-9.446434593200683
81,-12.75678497236222
82,-9.996424555778503
83,-13.096460700035095
84,-14.162659835815429
85,-12.005430340766907
86,-20.924614715576173
87,-26.486619186401366
88,-31.02174530029297
89,-26.106804847717285
90,-29.527472686767577
91,-36.9884635925293
92,-30.715258026123045
93,-31.323371505737306
94,-33.63890609741211
95,-35.791201782226565
96,-29.34702339172363
97,-30.89896926879883
98,-34.67433090209961
99,-33.95105094909668
100,-30.99500846862793
101,-39.13779067993164
102,-31.72580337524414
103,-35.82756156921387
104,-37.0330150604248
105,-37.1014289855957
106,-35.21931686401367
107,-36.878387451171875
108,-33.54313697814941
109,-37.46205177307129
110,-32.092211151123045
111,-36.1962272644043
112,-35.005854797363284
113,-33.83216400146485
114,-34.554106903076175
115,-33.58448524475098
116,-31.345854187011717
117,-33.88573226928711
118,-39.061275482177734
119,-36.56838455200195
120,-35.35403747558594
121,-33.53083114624023
122,-33.60803718566895
123,-38.111830139160155
124,-33.017906951904294
125,-28.131612396240236
126,-31.874079513549805
127,-31.400946807861327
128,-33.583831024169925
129,-35.2152214050293
130,-31.1916748046875
131,-35.50211067199707
132,-34.273583984375
133,-32.330299377441406
134,-32.72591667175293
135,-30.63824119567871
136,-32.26634407043457
137,-32.33741683959961
138,-30.98559112548828
139,-31.554602432250977
140,-31.877404022216798
141,-32.77421646118164
142,-33.59258041381836
143,-30.363389205932616
144,-30.944149780273438
145,-32.11759872436524
146,-33.70263442993164
147,-32.501623916625974
148,-28.583961486816406
149,-30.255470275878906
150,-31.72490348815918
151,-31.181201171875
152,-31.397658920288087
153,-32.67014389038086
154,-31.556372833251952
155,-31.899768447875978
156,-30.906494903564454
157,-29.98460998535156
158,-33.26666603088379
159,-30.636367797851562
160,-31.731974411010743
161,-30.156418991088866
162,-30.399027633666993
163,-30.31426010131836
164,-28.015332794189455
165,-28.717638778686524
166,-32.4343879699707
167,-32.80872688293457
168,-31.554135894775392
169,-28.259306335449217
170,-29.78916130065918
171,-29.47447814941406
172,-30.85993881225586
173,-29.46229667663574
174,-32.089945220947264
175,-31.23393669128418
176,-27.79363098144531
177,-30.496880340576173
178,-30.30701675415039
179,-30.370782470703126
180,-33.493866729736325
181,-31.823177337646484
182,-33.815900802612305
183,-28.899708938598632
184,-30.79499282836914
185,-30.20318183898926
186,-28.686534881591797
187,-31.531683731079102
188,-29.846032333374023
189,-28.78159828186035
190,-30.686928939819335
191,-30.78148956298828
192,-30.75192985534668
193,-30.586764907836915
194,-30.96303482055664
195,-30.28736343383789
196,-31.274395751953126
197,-30.41288604736328
198,-31.919153213500977
199,-31.402097702026367
200,-28.69793243408203
201,-30.219289016723632
202,-29.80853385925293
203,-32.03610382080078
204,-30.65378646850586
205,-30.91185302734375
206,-30.164645385742187
207,-30.278483200073243
208,-31.543234634399415
209,-30.07281608581543
210,-31.151141738891603
211,-33.425363540649414
212,-29.208373260498046
213,-30.63386650085449
214,-30.983781814575195
215,-30.82914505004883
216,-27.14073791503906
217,-31.30345039367676
218,-30.701391983032227
219,-29.8159236907959
220,-29.459629821777344
221,-32.044913864135744
222,-27.981465148925782
223,-32.71568717956543
224,-29.430834579467774
225,-28.558432006835936
226,-30.731844329833983
227,-30.787424850463868
228,-31.67921714782715
229,-28.697529602050782
230,-30.676303482055665
231,-28.097866821289063
232,-30.23189010620117
233,-29.799118423461913
234,-29.035584259033204
235,-27.45938186645508
236,-30.61093940734863
237,-31.43357696533203
238,-31.58820495605469
239,-28.35607566833496
240,-28.95538444519043
241,-30.00837936401367
242,-29.540430068969727
243,-30.060950088500977
244,-28.375154113769533
245,-31.06191291809082
246,-29.683292388916016
247,-27.25097541809082
248,-27.976169204711915
249,-29.698775863647462
250,-30.077677154541014
251,-28.723594665527344
252,-28.455011749267577
253,-29.98993377685547
254,-29.076569747924804
255,-28.878694152832033
256,-27.574145889282228
257,-27.801751327514648
258,-27.293568801879882
259,-25.104306030273438
260,-30.533740234375
261,-29.00768623352051
262,-27.803665542602538
263,-30.591823959350585
264,-26.819446563720703
265,-29.503457260131835
266,-28.062905502319335
267,-28.689125061035156
268,-29.845085906982423
269,-31.4503532409668
270,-27.819836807250976
271,-27.103680419921876
272,-28.113436889648437
273,-27.236689376831055
274,-26.57742385864258
275,-30.32675437927246
276,-28.47737922668457
277,-27.259727478027344
278,-26.158711624145507
279,-27.183528900146484
280,-29.16271209716797
281,-27.85064277648926
282,-27.804259490966796
283,-27.26606903076172
284,-28.960898208618165
285,-26.99229736328125
286,-27.25557098388672
287,-29.830949783325195
288,-26.439433670043947
289,-26.64230842590332
290,-26.881271171569825
291,-28.198793029785158
292,-27.155782318115236
293,-26.426895523071288
294,-28.24327621459961
295,-28.811542510986328
296,-24.13635425567627
297,-25.090475845336915
298,-26.526631927490236
299,-26.871234893798828
300,-26.54331283569336
301,-25.848725509643554
302,-25.583635330200195
303,-27.299666976928712
304,-25.447378158569336
305,-27.645148849487306
306,-28.877858352661132
307,-27.58114585876465
308,-26.56788787841797
309,-26.941647720336913
310,-27.967642974853515
311,-27.248445510864258
312,-27.03231735229492
313,-26.861622619628907
314,-25.621709442138673
315,-27.139579391479494
316,-24.833100891113283
317,-26.739131927490234
318,-23.91824836730957
319,-28.237083435058594
320,-25.213142967224123
321,-25.36319236755371
322,-26.462191009521483
323,-27.09179267883301
324,-24.623428916931154
325,-27.31602554321289
326,-26.53166732788086
327,-22.97115821838379
328,-24.931922912597656
329,-25.559632110595704
330,-25.36754493713379
331,-22.243297958374022
332,-24.4715087890625
333,-25.95959892272949
334,-23.039702224731446
335,-26.200018692016602
336,-23.72433967590332
337,-27.298960876464843
338,-24.851421356201172
339,-25.591953659057616
340,-23.500859451293945
341,-23.99051628112793
342,-25.689817047119142
343,-25.068164253234862
344,-24.138663482666015
345,-21.34172115325928
346,-23.77402267456055
347,-25.244336700439455
348,-25.969662284851076
349,-24.282275772094728
350,-22.343194198608398
351,-23.744128227233887
352,-25.089789962768556
353,-24.530413818359374
354,-23.36340160369873
355,-23.23021583557129
356,-23.359664916992188
357,-22.3609827041626
358,-22.032330322265626
