Step,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0159090906381607
84,0.00606060624122618
85,0.0
86,0.0
87,0.00037878789007662
88,0.07310606241226196
89,0.0
90,0.0
91,0.0
92,0.04015151560306548
93,0.0
94,0.0
95,0.025
96,0.0
97,0.05606060698628425
98,0.0875222809612751
99,0.0
100,0.0007575757801532599
101,0.00530303046107292
102,0.00227272734045982
103,0.0
104,0.1936030164361
105,0.15530303493142125
106,0.0189393937587738
107,0.0106060605496168
108,0.0071976886596530395
109,0.1939393997192383
110,0.057575756311416613
111,0.00151587030850348
112,0.08257575631141663
113,0.006060606241226179
114,0.0
115,0.01893939338624474
116,0.00454545468091964
117,0.0
118,0.006060606241226179
119,0.05189393758773804
120,0.0825786342844367
121,0.014015151932835562
122,0.0
123,0.0
124,0.01856204299256204
125,0.19696969166398046
126,0.027278476953506436
127,0.0159090906381607
128,0.06325757615268228
129,0.022727991035208058
130,0.16439394056797024
131,0.05947113363072274
132,0.18219697475433352
133,0.00189393945038318
134,0.2034090869128704
135,0.2946969747543335
136,0.026515151560306517
137,0.0871212139725685
138,0.09056193009018895
139,0.015929216146469062
140,0.1534105318598449
141,0.0007582945283502
142,0.0113636367022991
143,0.0284090906381607
144,0.029172417148947676
145,0.20607785955071445
146,0.00075901327654718
147,0.0359848480671644
148,0.00682824440300462
149,0.05463026836514471
150,0.00681818202137946
151,0.01515726558864112
152,0.01818181760609148
153,0.00037878789007662
154,0.10910168811678884
155,0.0011385199613869
156,0.19473075568675993
157,0.20116152185946704
158,0.2731398493051529
159,0.00681818164885042
160,0.015152233978733378
161,0.02197544649243352
162,0.0
163,0.09242424257099628
164,0.09621211886405943
165,0.01212121248245238
166,0.09356204336509104
167,0.156064198538661
168,0.06401515305042266
169,0.07286527333781122
170,0.12694209665060038
171,0.0053102180361747605
172,0.0011363636702298799
173,0.18296748623251913
174,0.11932464926503597
175,0.0568181812763214
176,0.00075901327654718
177,0.01401515193283554
178,0.008722902834415399
179,0.039021620899438836
180,0.014393939450383142
181,0.11554683996364472
182,0.03068684991449116
183,0.04208282902836798
184,0.00568181835114954
185,0.05607282444834706
186,0.1943196135573089
187,0.050048874691128675
188,0.17386938743293284
189,0.11969696544110772
190,0.12537878975272176
191,0.270233166590333
192,0.06366367824375627
193,0.15588235817849633
194,0.1746456518769264
195,0.20681817978620526
196,0.00492424257099626
197,0.014779195934534039
198,0.10497455745935438
199,0.14775314666330813
200,0.12992424368858332
201,0.1072185307741165
202,0.24394442019984122
203,0.10689652338623996
204,0.16439394019544123
205,0.15533896610140802
206,0.030706974864005997
207,0.15278017222881318
208,0.19531654864549633
209,0.10423278957605361
210,0.15649473667144775
211,0.2500884041190147
212,0.06260565593838689
213,0.21251078248023986
214,0.18144011325202877
215,0.05502774156630037
216,0.04015151560306546
217,0.2008431028574705
218,0.0727315837051719
219,0.16439609201624986
220,0.02882453538477418
221,0.21593927890062328
222,0.06931818425655364
223,0.25569188049994407
224,0.052371919155120836
225,0.1462581250816583
226,0.018939394503831856
227,0.20378859429620205
228,0.10379219371825452
229,0.03678626865148544
230,0.25083447787910695
231,0.012523000501096199
232,0.10265367077663537
233,0.10947472928091877
234,0.20813639089465136
235,0.13980579152703282
236,0.24394226465374222
237,0.05383747359737749
238,0.4356930285692215
239,0.1828740397002548
240,0.15606851628981527
241,0.137574752792716
242,0.2920555179007351
243,0.22841053120791907
244,0.014021620713174301
245,0.10797179685905574
246,0.09172129333019254
247,0.30834123678505415
248,0.06819834709167479
249,0.10909090638160704
250,0.03677261285483836
251,0.18051075190305704
252,0.26406402662396433
253,0.259091625874862
254,0.13918549804948266
255,0.195082950592041
256,0.0704559820704162
257,0.06592921540141103
258,0.2110387498512864
259,0.11519967094063757
260,0.08879305422306058
261,0.4160664968192577
262,0.01098484881222246
263,0.2622009996324778
264,0.0573033442255109
265,0.1546935209073126
266,0.30704027488827695
267,0.23327008187770842
268,0.3303181160241365
269,0.14583332836627957
270,0.020481139793991982
271,0.050800702720880477
272,0.00075901327654718
273,0.12427692217752333
274,0.05075901327654716
275,0.17138534262776373
276,0.043194037955254276
277,0.00833548950031396
278,0.10985135794617232
279,0.36077496465295555
280,0.0553030330687761
281,0.19205120913684365
282,0.4025293216109276
283,0.28883905746042726
284,0.2345746281556785
285,0.27426614500582214
286,0.27151688002049923
287,0.2649215135723352
288,0.19584339763969177
289,0.39965714477002623
290,0.3113284108228981
291,0.251515144109726
292,0.1420476124156266
293,0.32045741435140374
294,0.10436432361602783
295,0.22425751462578775
296,0.02993933632969854
297,0.19244220778346058
298,0.12999755218625067
299,0.01024667918682096
300,0.23724052906036378
301,0.2308924227952957
302,0.01935412026941774
303,0.33338149897754193
304,0.19848556979559356
305,0.19119371473789212
306,0.15384825691580767
307,0.09068986810743804
308,0.006827525794506059
309,0.05116655044257636
310,0.09434693492949003
311,0.14817362613975998
312,0.4373246343806386
313,0.11831191605888303
314,0.3484352484345436
315,0.1931861289776861
316,0.16295281704515216
317,0.2870328061282635
318,0.10154102435335513
319,0.11527730152010915
320,0.17121284394524988
321,0.23678124025464053
322,0.25303533403202894
323,0.34950047023594377
324,0.2727272719144821
325,0.09170044921338553
326,0.2314710224978625
327,0.07462192899547514
328,0.037157868966460186
329,0.3589248788543045
330,0.12993502607569096
331,0.32689609499648214
332,0.1708347695879638
333,0.2231067807879299
334,0.1678195647895336
335,0.18448622711002824
336,0.27858806848526
337,0.02236573472619054
338,0.2425464376807213
339,0.09969021230936045
340,0.3582902103662491
341,0.13221350247040384
342,0.16528807878494262
343,0.0557493820786476
344,0.07310893293470143
345,0.06108475625514982
346,0.08717943206429477
347,0.12813021279871464
348,0.36692758500576017
349,0.1526558296754956
350,0.033713560085743624
351,0.27083333730697634
352,0.22227876447141165
353,0.03908918499946594
354,0.2902607649564743
355,0.29122391156852245
356,0.4379413217306136
