Step,Value
0,-1249.7292236328126
1,-1178.1251708984375
2,-1093.138623046875
3,-1007.53271484375
4,-907.907568359375
5,-869.1859008789063
6,-764.7855346679687
7,-717.44970703125
8,-640.1260131835937
9,-608.1330932617187
10,-600.8341674804688
11,-563.765185546875
12,-494.3935302734375
13,-470.35438842773436
14,-451.27393798828126
15,-476.97759399414065
16,-451.9167785644531
17,-435.57008056640626
18,-416.70435791015626
19,-374.72532958984374
20,-383.6981262207031
21,-382.2413269042969
22,-378.30144653320315
23,-365.5806823730469
24,-325.5875732421875
25,-321.584423828125
26,-337.81212158203124
27,-304.64226684570315
28,-308.50999145507814
29,-311.30596313476565
30,-298.0455261230469
31,-302.0096374511719
32,-280.8703125
33,-287.6379333496094
34,-287.4342102050781
35,-268.3930328369141
36,-268.48607177734374
37,-255.64547119140624
38,-263.2726104736328
39,-257.7185119628906
40,-259.96397094726564
41,-235.8323516845703
42,-252.8217315673828
43,-249.10405883789062
44,-254.66640014648436
45,-224.85216674804687
46,-243.68594665527343
47,-243.36136474609376
48,-229.90802612304688
49,-220.7480010986328
50,-214.90898742675782
51,-217.25116271972655
52,-211.11982421875
53,-213.87904052734376
54,-206.99058532714844
55,-211.70523681640626
56,-216.26175842285156
57,-207.14958801269532
58,-211.79776000976562
59,-181.77923583984375
60,-181.37159423828126
61,-206.8375732421875
62,-209.78030700683593
63,-202.49526977539062
64,-205.00721740722656
65,-200.64573974609374
66,-188.7268829345703
67,-190.09790954589843
68,-169.0754608154297
69,-184.63770141601563
70,-212.74506530761718
71,-176.86080627441407
72,-181.15094909667968
73,-152.54763793945312
74,-160.80201416015626
75,-171.7959228515625
76,-164.49491271972656
77,-118.69229431152344
78,-121.94382705688477
79,-138.970458984375
80,-164.70892791748048
81,-134.44047012329102
82,-185.95074386596679
83,-100.20395240783691
84,-119.53801651000977
85,-143.73506774902344
86,-155.84322204589844
87,-78.4195930480957
88,-98.03462219238281
89,-162.74720611572266
90,-54.76428985595703
91,-64.21188812255859
92,-63.265919876098636
93,-60.99291839599609
94,-67.52848815917969
95,-67.47865943908691
96,-67.35134735107422
