Step,Value
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.2
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.2
75,0.2
76,0.2
77,0.2
78,0.4
79,0.4
80,0.2
81,0.4
82,0.4253787875175476
83,0.6
84,0.6
85,0.4
86,0.47462121248245237
87,0.2564393937587738
88,0.6
89,0.2
90,0.2
91,0.4
92,0.2018939394503832
93,0.4018939394503832
94,0.4
95,0.3996212124824524
96,0.6367424249649047
97,0.5992424249649048
98,0.7946969747543335
99,0.5310606122016907
100,0.5981060624122619
101,0.5946969747543335
102,0.7772727251052857
103,0.5867424249649048
104,0.5594696998596191
105,0.5545454502105713
106,0.33484848737716677
107,0.5287878751754761
108,0.3325757622718811
109,0.3113636374473572
110,0.31477272510528564
111,0.07878788113594054
112,0.49772727489471436
113,0.4700757563114166
114,0.0
115,0.00984848514199256
116,0.2189393937587738
117,0.4049242425709963
118,0.4306818187236786
119,0.24204545319080353
120,0.25492424368858335
121,0.26780303120613097
122,0.2507575750350952
123,0.24507575631141662
124,0.05
125,0.2579545438289642
126,0.24280303120613098
127,0.4382575750350952
128,0.19128787517547607
129,0.6159090906381607
130,0.04128787852823732
131,0.2125
132,0.0162878781557083
133,0.2018939394503832
134,0.0
135,0.2
136,0.2
137,0.22504743933677673
138,0.0201138526201248
139,0.40075901001691816
140,0.20721062645316124
141,0.20417457297444344
142,0.19924314408563076
143,0.25313093066215514
144,0.01024667918682098
145,0.30384538173675535
146,0.0
147,0.09053677208721636
148,0.3462121248245239
149,0.0
150,0.2
151,0.2
152,0.2628787875175476
153,0.4003795066382736
154,0.21137729324400426
155,0.5329789876937866
156,0.4
157,0.4144212529063225
158,0.25189393758773804
159,0.21138519942760467
160,0.410246679186821
161,0.40721062645316125
162,0.22049335837364198
163,0.4686907023191452
164,0.2952561676502228
165,0.2757741086184978
166,0.46603415310382845
167,0.4777988582849503
168,0.3750438421964645
169,0.3837358444929123
170,0.42504743933677674
171,0.4330170780420303
172,0.4
173,0.41252371966838836
174,0.45877824574708936
175,0.4105801820755005
176,0.4772619500756264
177,0.39089184403419497
178,0.4212523758411407
179,0.5905123353004456
180,0.5939278960227966
181,0.4363521385937929
182,0.5935483813285828
183,0.5354838728904724
184,0.19924099221825597
185,0.3935483813285827
186,0.3916508555412292
187,0.1449701018631458
188,0.5287749486975372
189,0.7859625697135926
190,0.45909090638160704
191,0.6075901329517365
192,0.6
193,0.5984819769859314
194,0.7893738150596619
195,0.7988614797592163
196,0.5965844392776489
197,0.6
198,0.8
199,0.5745730519294738
200,0.7544592022895813
201,0.7525616645812988
202,0.4083491459488869
203,0.6
204,0.5977229595184326
205,0.6
206,0.7996204972267151
207,0.6
208,0.6
209,0.7992409825325012
210,0.3988614797592163
211,0.7977229595184326
212,0.6090909093618393
213,0.8
214,0.5996204972267151
215,0.3996204972267151
216,0.5999999958090484
217,0.46565464735031126
218,0.7935483813285827
219,0.6
220,0.5908918358385563
221,0.44637024998664854
222,0.2770398497581482
223,0.28994307592511176
224,0.4785578727722168
225,0.6690831422805786
226,0.6015187457203865
227,0.7928030252456665
228,0.5829531073570251
229,0.5844682574272155
230,0.4030360531061888
231,0.5988614797592163
232,0.40683111920952797
233,0.24092705994844438
234,0.4083311766386032
235,0.4041659519076347
236,0.4011363636702299
237,0.4193181812763214
238,0.2455407977104187
239,0.2018975332379341
240,0.4
241,0.4196940988302231
242,0.3996204972267151
243,0.39810246229171753
244,0.4
245,0.4226812690496445
246,0.2242115169763565
247,0.16508538722991944
248,0.1863377571105957
249,0.19165085554122924
250,0.2041048526763916
251,0.23669499158859253
252,0.39659091234207156
253,0.22074779868125916
254,0.13313926756381989
255,0.1607045352458954
256,0.09855816364288328
257,0.17281495928764343
258,0.17883890867233276
259,0.2983166575431824
260,0.5525724530220032
261,0.39734848737716677
262,0.3977272748947144
263,0.3992424249649048
264,0.3988636374473572
265,0.3363636374473572
266,0.3409090876579285
267,0.29015151262283323
268,0.3753787875175476
269,0.2284090906381607
270,0.039393939077854115
271,0.20833333358168601
272,0.398106062412262
273,0.16477272510528565
274,0.18636364117264748
275,0.2
276,0.2
277,0.2
278,0.4
279,0.3234848499298096
280,0.3708333373069763
281,0.4
282,0.4
283,0.2
284,0.3996212124824524
285,0.1988636374473572
286,0.3996212124824524
287,0.055681818723678576
288,0.0007575757801532599
289,0.0
290,0.21704545468091965
291,0.2
292,0.2
293,0.0
294,0.2
295,0.2
296,0.2
297,0.4
298,0.2
299,0.2
300,0.2
301,0.4
302,0.4
303,0.2
304,0.2
305,0.2
306,0.2
307,0.2
308,0.2
309,0.2
310,0.00037950663827358
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.00037878789007662
323,0.0
324,0.0
325,0.2
326,0.2
327,0.0
328,0.1992424249649048
329,0.00681818202137946
330,0.2
331,0.2
332,0.0
333,0.027272728085517877
334,0.0375
335,0.0
336,0.2
337,0.0
338,0.1863636374473572
339,0.19507576227188111
340,0.08674242496490478
341,0.0
342,0.09335863590240479
343,0.05388994216918944
344,0.0
345,0.02732447683811188
346,0.0
347,0.0
348,0.0
349,0.185199236869812
350,0.0
351,0.2
352,0.0
353,0.0
354,0.2
355,0.00037950663827358
356,0.03908918499946594
357,0.0
358,0.00493358634412288
359,0.0
360,0.0
361,0.1196969747543335
362,0.0
363,0.2090909093618393
364,0.0
365,0.0693181812763214
366,0.0
367,0.2
368,0.2
369,0.0
370,0.0
371,0.0
372,0.2
373,0.0
374,0.0
375,0.0
376,0.2
377,0.0
378,0.0
379,0.2
380,0.0
381,0.0
382,0.2
383,0.0
384,0.01060606092214584
385,0.0
386,0.2
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.2
413,0.0
