Step,Value
0,-17621.139453125
1,-45950.50234375
2,-68428.1671875
3,-74383.16875
4,-76077.9875
5,-77774.46875
6,-78618.0734375
7,-78618.5625
8,-79044.8640625
9,-79728.4140625
10,-80315.0
11,-82071.925
12,-83714.8078125
13,-84577.9109375
14,-86883.7390625
15,-88318.134375
16,-89185.1828125
17,-90990.95
18,-92117.0796875
19,-92892.0703125
20,-93468.1890625
21,-95981.6171875
22,-97794.659375
23,-98422.328125
24,-98287.203125
25,-94431.965625
26,-93516.5796875
27,-94341.340625
28,-94033.3453125
29,-94147.4875
30,-94092.8859375
31,-91619.053125
32,-84859.1609375
33,-80900.85
34,-79746.6078125
35,-72283.3953125
36,-62646.2125
37,-55428.6671875
38,-64719.66015625
39,-56084.71796875
40,-47445.85703125
41,-40843.409375
42,-48864.971875
43,-46149.4171875
44,-41427.947265625
45,-33727.9177734375
46,-38419.78203125
47,-31315.54765625
48,-25223.222265625
49,-27692.372265625
50,-23578.898828125
51,-20354.228515625
52,-18070.8501953125
53,-18191.537109375
54,-16979.133203125
55,-15558.6787109375
56,-14449.7986328125
57,-11952.9662109375
58,-9886.707730102538
59,-7831.581066894531
60,-9153.446069335938
61,-6472.866369628906
62,-11295.4005859375
63,-7657.609649658203
64,-10025.125390625
65,-7176.8052734375
66,-8501.5205078125
67,-3192.6216148376466
68,-4583.995846557617
69,-3123.4506103515623
70,-2588.1086181640626
71,-3737.9130859375
72,-3291.18125
73,-5710.308679199219
74,-5325.354907226562
75,-6715.560290527344
76,-6508.397683715821
77,-4067.5993732452393
78,-6461.777084350586
79,-6028.263562011719
80,-8279.950311279297
81,-7297.98994140625
82,-4022.166128540039
83,-9207.931027221679
84,-9095.933186340331
85,-6177.011869049073
86,-3390.554105377197
87,-5281.4738494873045
88,-3360.9734588623046
89,-2886.8163356781006
90,-3989.1335327148436
91,-2815.086681365967
92,-3680.649502182007
93,-3364.7592800140383
94,-6346.545993614197
95,-3017.8224014282227
96,-3855.441421508789
97,-2770.9726135253904
98,-1375.3847518920898
99,-2001.0505584716798
100,-3441.705810546875
101,-1999.2678443908692
102,-3726.0642150878907
103,-2498.180445098877
104,-2948.735648727417
105,-4212.932712769509
106,-2363.890867614746
107,-2513.884977722168
108,-3170.6177032470705
109,-3363.269264984131
110,-2054.656271362305
111,-1756.2774826049804
112,-2189.529529476166
113,-2088.353647375107
114,-1542.7632293701172
115,-1773.6866138458251
116,-1932.805167579651
117,-1761.7948601722717
118,-1951.8691635131836
119,-1910.8049341201781
120,-2039.135283088684
121,-1620.8127899169922
122,-1346.411122894287
123,-1206.1642808914185
124,-1358.1605696201325
125,-1687.21684589386
126,-1411.8765752792358
127,-1244.8773324489594
128,-1223.7228026390076
129,-1052.578444290161
130,-3871.5809440612793
131,-3229.7961426734923
132,-2268.5714611053468
133,-2007.6564659118653
134,-1970.8243255615234
135,-1972.5770446777344
136,-3193.5156494140624
137,-757.9046447753906
138,-2256.786346435547
139,-2012.6540649414062
140,-4652.865249633789
141,-3447.1569946289064
142,-3502.27802734375
143,-3254.0669967651365
144,-2943.393310546875
145,-2678.1437240600585
146,-3471.2539405822754
147,-3399.536421728134
148,-2877.1882239341735
149,-2350.178536272049
150,-1030.8476684570312
151,-958.486438369751
152,-775.9029960632324
153,-474.0684158325195
154,-1457.6446933746338
155,-324.58746948242185
156,-534.973233795166
157,-451.84813079833987
158,-433.93579483032227
159,-771.9914932250977
160,-177.43008270263672
161,-333.386669921875
162,-744.438589477539
163,-263.6399780273438
164,-416.6299053192139
165,-336.0989593505859
166,-383.8313293457031
167,-579.5181945800781
168,-721.9958877563477
169,-156.22364196777343
170,-189.82955017089844
171,-126.5826416015625
172,-47.92020721435547
173,-8.725180053710938
174,-157.49224395751952
175,-472.73006134033204
176,-285.78344573974607
177,-426.2749794960022
178,-456.30127754211424
179,-34.63595110177994
180,66.1860414266586
181,-549.1306573152542
182,22.755234718322754
183,-324.29366145133974
184,-1491.676763343811
185,-679.909185218811
186,-303.68432197570803
187,-427.208359503746
188,-398.1315300226212
189,-93.15601835250854
190,-450.4787442222238
191,-611.9275274008512
192,-397.62873057723044
193,-667.8625558197498
194,-628.9941716641188
195,-384.5705570161343
196,-345.77152614593507
197,-248.59923125505446
198,-335.8219851255417
199,-865.970352602005
200,-832.6085747003556
201,-729.3915323257446
202,-1242.034086894989
203,-1240.942190551758
204,-583.6291093826294
205,-596.0697948455811
206,-1315.3706365585326
207,-669.3852437973022
208,-782.6179607391357
209,-391.0391019821167
210,-917.0374439239501
211,-165.84232978820802
212,112.36129493713379
213,-579.4670648574829
214,-1198.6497512817382
215,-1176.0440313339234
216,-1188.3795078277587
217,-498.9581611633301
218,-305.64240674972535
219,51.749747848510744
220,-1125.8435740470886
221,-773.8341346025467
222,-262.38825180530546
223,-271.58138655424113
224,43.823931431770326
225,-278.61396696567533
226,119.49763264656067
227,125.45952305793762
228,70.0465970993042
229,85.68293418884278
230,-627.4617023706436
231,6.452459734678269
232,-519.5367263868451
233,-142.9227091193199
234,266.4951599240303
235,213.8881871879101
236,56.0785672724247
237,-38.22356802225113
238,-289.32692272663115
239,-434.2967809677124
240,104.02403268814086
241,-173.22819843292237
242,-162.3926206588745
243,62.17880249023436
244,107.42215824127197
245,34.625485801696776
246,-722.357599902153
247,-2108.681027400494
248,-1262.3104354575275
249,-707.0316858530044
250,-1111.0351362228394
251,-909.9399017333984
252,-573.9473825454712
253,-577.0990888595582
254,-506.43589105606077
255,-719.4527069091797
256,-354.2085481643677
257,-641.208701133728
258,-630.3281474113464
259,-685.4078063964844
260,-516.1529105968773
261,-424.4760094046593
262,-623.3871113210917
263,-336.82549973186104
264,-326.1467356864363
265,-569.3651043076068
266,-375.59180866479875
267,-298.71351510696115
268,-1025.0276436537504
269,-453.16468674987556
270,-555.2000439912081
271,-543.9571400105954
272,-614.7484714195132
273,-723.7558020353317
274,-580.1987818479538
275,-539.3778940200806
276,-514.7730356216431
277,-564.1953246116639
278,-512.8889580965042
279,-689.3048529148102
280,-583.0760882496834
281,-513.2188530921936
282,-898.7281977415084
283,-572.9664402961731
284,-532.0060275077819
285,-660.4059185028076
286,-659.3668423175811
287,-349.7226611085236
288,-487.22793009281156
289,-367.7942840576172
290,-218.4532998085022
291,-557.4211273193359
292,-340.6471736907959
293,-464.7782264709473
294,-195.4062873840332
295,-67.73419952392578
296,-28.882019805908204
297,21.977944374084473
298,-44.88603553771973
299,-59.06475067138672
300,-111.41138591766358
301,30.043516540527342
302,-1.4172175407409675
303,-63.292365074157715
304,-76.90956993103028
305,-84.04188690185546
306,-99.54189624786378
307,-95.47665367126464
308,-183.16146850585938
309,-199.45277519226073
310,-833.8725366766332
311,-612.892000579834
312,-785.8080924987793
313,-799.8789207458497
314,-441.4922332763672
315,-894.4109617233277
316,-530.370579624176
317,-597.4715130805969
318,-556.8931919097901
319,-630.7591614723206
320,-642.6120862007141
321,-562.6024034500122
322,-478.35669021606446
323,-419.9805673599243
324,-213.24353370666503
325,-306.2119087219238
326,-317.478729057312
327,-284.09417686462405
328,-430.97937428951263
329,-335.2171805381775
330,-338.07989406585693
331,-356.4984736442566
332,-700.8638305664062
333,-459.784010219574
334,-499.7277187347412
335,-403.61129198074343
336,-693.5453307151795
337,-240.3508584022522
338,-223.61780757904052
339,-345.8317915916443
340,-447.19704208374026
341,-502.41674041748047
342,-583.1940340995789
343,-356.85323963165285
344,-449.54978981018064
345,-447.050119972229
346,-323.80265083312986
347,-494.22845859527587
348,-740.0427687644958
349,-552.6557022094727
350,-584.2898014068603
351,-960.8844077110291
352,-808.6770265579223
353,-847.7094707489014
354,-686.8709966659546
355,-893.7062065124512
356,-616.9507484436035
357,-652.8286951065063
358,-507.8449598312378
359,-484.5110401153564
360,-355.50455112457274
361,-356.7199350357056
362,-707.1985975265503
363,-387.818106842041
364,-485.82124557495115
365,-259.6681507110596
366,-839.0775290489197
367,-241.18027877807617
368,-20.887882041931153
369,-981.435174369812
370,-479.28443365097047
371,-613.8750648498535
372,-123.06356105804443
373,-566.3388460159301
374,-748.281498336792
375,-687.5679080963134
376,-143.30299911499023
377,-857.543584728241
378,-633.9245610237122
379,-458.0804006576538
380,-779.7489158630372
381,-742.2363712310791
382,-176.60308809280394
383,-472.40469655990603
384,-501.87372932434084
385,-226.21937837600709
386,-122.99429235458373
387,-577.4354776382446
388,-500.3602529525757
389,-496.80121936798093
390,-529.2404433250427
391,-416.5376692771912
392,-564.0827575683594
393,-400.79772834777833
394,-616.9540765762329
395,-331.992218208313
396,-452.2745607376099
397,-283.0254064559937
398,-663.8078681945801
399,-496.27523002624514
400,-518.1684246063232
401,-629.5785229682922
402,-540.4614493370057
403,-443.1031423568726
404,-463.6714467048645
405,-373.00240297317504
406,-690.5909223556519
407,-441.6302370071411
408,-472.4309329986572
409,-451.8244666099548
410,-391.3209192276001
411,-592.6390780448913
412,-287.96708421707154
413,-387.87091426849366
414,-552.1850551605224
415,-213.4700397491455
416,-386.99902667999265
417,-522.0950756072998
418,-394.6595674514771
419,-502.7310689926147
420,-558.4870203018188
421,-349.4542485237122
422,-499.9870554924011
423,-386.7512861251831
424,-432.57595653533934
425,-537.2875726699829
426,-436.85333385467527
427,-430.11493463516234
428,-346.9355405807495
429,-294.057723236084
430,-366.3475838661194
431,-673.9328092575073
432,-423.60535860061646
433,-517.3674491882324
434,-370.28405275344846
435,-260.06792583465574
436,-405.93508071899413
437,-431.0032020568848
438,-388.2718475341797
439,-478.8112985610962
440,-389.04109897613523
441,-284.88372440338134
442,-348.31730833053587
443,-229.020672416687
444,-432.65595455169677
445,-316.3844599723816
446,-274.811967086792
447,-388.507332611084
448,-116.27159442901612
449,-461.8044746398926
450,-231.05135562419892
451,-135.6546091079712
452,-515.1530979156494
453,-384.7612356185913
454,-294.5354639053345
