Step,Value
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,0.8
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,0.9984819769859314
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,1.0
74,0.8
75,0.8
76,0.8
77,0.8
78,0.6
79,0.6
80,0.8
81,0.6
82,0.5871212124824524
83,0.4
84,0.4
85,0.6
86,0.575
87,0.7602272748947143
88,0.42045454531908033
89,0.8
90,0.8
91,0.6
92,0.7943181872367859
93,0.5996212124824524
94,0.6
95,0.6068181820213795
96,0.3988636411726475
97,0.4079545453190804
98,0.263257572799921
99,0.5015151545405387
100,0.41363636404275894
101,0.4333333343267441
102,0.27083333134651183
103,0.49507575631141665
104,0.5034090876579285
105,0.5060606002807617
106,0.726893937587738
107,0.5219696998596192
108,0.7196969747543335
109,0.7507575750350952
110,0.7397727251052857
111,0.9666666626930237
112,0.5405303001403808
113,0.5859848499298096
114,0.9973484873771667
115,0.9844696998596192
116,0.7924242377281189
117,0.5962121248245239
118,0.5878787875175476
119,0.7848484873771667
120,0.7916666626930237
121,0.7916666626930237
122,0.7931818127632141
123,0.791287875175476
124,0.9893939375877381
125,0.7875
126,0.7761363625526428
127,0.5973484873771667
128,0.9583333373069763
129,0.36553030014038085
130,0.9859848499298096
131,0.7928030371665955
132,0.9954545497894287
133,0.7988636374473572
134,1.0
135,0.8
136,0.8
137,0.7973434567451477
138,0.9787483453750611
139,0.6041745714843273
140,0.7935483813285827
141,0.7992409899830818
142,0.792387580126524
143,0.7715370059013367
144,0.981783676147461
145,0.7374748468399048
146,0.9943073987960815
147,0.8878680050373078
148,0.6484848499298096
149,1.0
150,0.8
151,0.8
152,0.7446969747543335
153,0.6
154,0.7988636374473572
155,0.5488600373268128
156,0.5977229595184326
157,0.5946869015693664
