Wall time,Step,Value
1710325573.7123175,0,-1858.345458984375
1710325575.6936145,1,-16460.6015625
1710325577.6336539,2,-30083.50390625
1710325579.571708,3,-39473.30859375
1710325581.5023813,4,-43822.87109375
1710325583.4654746,5,-42260.828125
1710325585.4404118,6,-38136.90234375
1710325587.387712,7,-32935.63671875
1710325589.3230948,8,-29088.82421875
1710325591.2506099,9,-25765.5859375
1710325594.7365243,10,-22864.328125
1710325596.6292849,11,-21696.4921875
1710325598.533035,12,-19632.990234375
1710325600.4344158,13,-19127.171875
1710325602.3096535,14,-17559.7421875
1710325604.2047355,15,-16480.654296875
1710325606.2030938,16,-15889.375
1710325608.1082942,17,-15026.8828125
1710325609.9816535,18,-14426.3623046875
1710325611.912617,19,-13799.8818359375
1710325615.3231087,20,-12510.591796875
1710325617.2471194,21,-13099.0244140625
1710325619.1310353,22,-12414.2998046875
1710325621.0381417,23,-11399.7216796875
1710325622.9142962,24,-10948.974609375
1710325624.7846062,25,-11198.5859375
1710325626.7002578,26,-9380.158203125
1710325628.5805607,27,-9676.046875
1710325630.4448736,28,-9604.1796875
1710325632.378374,29,-9405.2001953125
1710325635.806648,30,-8782.0986328125
1710325637.7061841,31,-9797.171875
1710325639.5910087,32,-7766.84375
1710325641.4491963,33,-8413.03125
1710325643.3254008,34,-7738.1064453125
1710325645.194317,35,-8112.01123046875
1710325647.0381367,36,-6980.517578125
1710325648.8878684,37,-7612.1943359375
1710325650.752359,38,-7702.541015625
1710325652.6423278,39,-7125.7978515625
1710325656.046895,40,-7808.8115234375
1710325657.9275255,41,-6285.54833984375
1710325659.7721274,42,-6439.234375
1710325661.633585,43,-6540.02587890625
1710325663.5021458,44,-5971.85302734375
1710325665.3794312,45,-6238.60205078125
1710325667.2593396,46,-5731.68994140625
1710325669.1553895,47,-5833.453125
1710325671.0378,48,-5690.8251953125
1710325672.8902507,49,-5690.94873046875
1710325676.2192261,50,-4967.88330078125
1710325678.07801,51,-5384.56689453125
1710325679.9643686,52,-5137.2333984375
1710325681.8381057,53,-4749.0927734375
1710325683.7013712,54,-4982.02685546875
1710325685.586379,55,-4697.4677734375
1710325687.492529,56,-4333.3876953125
1710325689.362747,57,-5318.41845703125
1710325691.2416942,58,-4271.69384765625
1710325693.0970414,59,-4274.541015625
1710325696.4429631,60,-4056.92822265625
1710325698.2860894,61,-4294.220703125
1710325700.1487906,62,-4064.9248046875
1710325701.994022,63,-3485.1845703125
1710325703.8505905,64,-3780.2109375
