Wall time,Step,Value
1710335673.8994162,0,-7549.541015625
1710335676.5130088,1,-11991.6826171875
1710335679.203723,2,-10048.294921875
1710335681.798603,3,-6639.88037109375
1710335684.4520473,4,-4375.84912109375
1710335687.162955,5,-2714.19091796875
1710335689.698664,6,-2144.598388671875
1710335692.147471,7,-1521.6595458984375
1710335694.762578,8,-1293.6123046875
1710335697.250516,9,-981.8251953125
1710335701.2528107,10,-910.07958984375
1710335703.7905548,11,-877.7999877929688
1710335706.3358665,12,-703.0582885742188
1710335708.907615,13,-605.72705078125
1710335711.3943899,14,-611.6506958007812
1710335713.9548779,15,-536.0711059570312
1710335716.5758595,16,-526.345703125
1710335719.1392434,17,-437.8804626464844
1710335721.7229636,18,-374.34796142578125
1710335724.2857819,19,-410.36920166015625
1710335728.575836,20,-305.4612121582031
1710335731.1521418,21,-309.7744140625
1710335733.7223728,22,-304.04827880859375
1710335736.298774,23,-248.17156982421875
1710335738.924244,24,-227.45748901367188
1710335741.5055108,25,-239.6193389892578
1710335744.0760877,26,-183.83277893066406
1710335746.6612048,27,-230.59376525878906
1710335749.2517655,28,-186.44252014160156
1710335751.8116853,29,-204.37515258789062
1710335755.8099487,30,-132.2726593017578
1710335758.299829,31,-186.38661193847656
1710335760.814757,32,-158.3914794921875
1710335763.3018575,33,-146.15858459472656
1710335765.6864483,34,-129.42794799804688
1710335768.2030306,35,-128.39874267578125
1710335770.7410154,36,-129.08966064453125
1710335773.2899642,37,-113.63214874267578
1710335775.8058786,38,-111.70337677001953
1710335778.2361462,39,-119.47315216064453
1710335782.488771,40,-84.47635650634766
1710335785.1875727,41,-82.32498931884766
1710335787.901252,42,-119.64045715332031
1710335790.685048,43,-95.30133819580078
1710335793.445769,44,-87.31229400634766
1710335796.3302147,45,-74.33905029296875
1710335799.209229,46,-61.442848205566406
1710335802.1358216,47,-65.51679229736328
1710335805.0881143,48,-61.300743103027344
1710335807.7163157,49,-58.20359420776367
1710335811.711404,50,-74.99415588378906
1710335814.2632334,51,-50.815460205078125
1710335816.7172103,52,-58.264984130859375
1710335819.2103808,53,-61.22200012207031
