Wall time,Step,Value
1712136139.6214237,0,-778.6033935546875
1712136143.5139487,1,-413.0732421875
1712136147.0749083,2,-266.6231994628906
1712136150.5865781,3,-178.24615478515625
1712136154.0941348,4,-155.73434448242188
1712136157.6226761,5,-113.55480194091797
1712136161.1499825,6,-94.84030151367188
1712136164.6508732,7,-80.23208618164062
1712136168.1645212,8,-67.58977508544922
1712136171.6722832,9,-62.191749572753906
1712136176.7878458,10,-51.998260498046875
1712136180.2826235,11,-48.8970947265625
1712136183.8785713,12,-39.734336853027344
1712136187.4425838,13,-35.867637634277344
1712136190.902694,14,-30.400554656982422
1712136194.3706794,15,-29.54004669189453
1712136197.7968605,16,-27.909805297851562
1712136201.2353,17,-25.201889038085938
1712136204.6774216,18,-20.71944808959961
1712136208.120335,19,-21.13873291015625
1712136212.3634593,20,-16.973682403564453
1712136215.794301,21,-18.18793296813965
1712136219.2560194,22,-16.094968795776367
1712136222.6761904,23,-13.658164978027344
1712136226.126674,24,-14.149751663208008
1712136229.5515897,25,-11.925084114074707
1712136233.0611992,26,-8.839936256408691
1712136236.5227306,27,-10.453886032104492
1712136239.9600768,28,-9.19813346862793
1712136243.4587162,29,-8.289810180664062
1712136247.6955967,30,-8.308202743530273
1712136251.1413949,31,-7.572529315948486
1712136254.594177,32,-7.197948455810547
1712136258.0452101,33,-7.453850746154785
1712136261.524978,34,-7.087329387664795
1712136264.9862182,35,-5.5954389572143555
1712136268.445494,36,-5.2495503425598145
1712136271.9016135,37,-5.273496627807617
1712136275.3549356,38,-4.533028602600098
1712136278.796052,39,-4.6152567863464355
1712136282.9845521,40,-3.893606424331665
1712136286.412135,41,-2.471055746078491
1712136289.8712943,42,-3.0727059841156006
1712136293.275243,43,-3.973062038421631
1712136296.6951017,44,-3.036271810531616
1712136300.1611023,45,-2.784083127975464
1712136303.5733106,46,-2.6871626377105713
1712136307.0255399,47,-2.1742031574249268
1712136310.5331128,48,-2.4930548667907715
1712136313.9411464,49,-2.3247344493865967
1712136318.1088507,50,-2.3468081951141357
1712136321.5461366,51,-1.8350191116333008
1712136324.970052,52,-1.4210704565048218
1712136328.395711,53,-1.3312461376190186
1712136331.8837442,54,-1.4166845083236694
1712136335.3273423,55,-0.357819139957428
1712136338.7711492,56,-0.8054545521736145
1712136342.1974096,57,-0.600145697593689
1712136345.6085181,58,-1.741807222366333
1712136349.0093315,59,-0.8274657726287842
1712136353.1269622,60,-0.2350095808506012
1712136356.5633132,61,-1.2243409156799316
1712136360.0269053,62,-0.3082376718521118
1712136363.5091949,63,-0.2807745337486267
1712136366.978205,64,-0.5476236939430237
1712136370.4424603,65,-0.9943901896476746
1712136373.8764653,66,-0.6709367036819458
1712136377.3097916,67,-0.29726964235305786
1712136380.7368052,68,-0.36085397005081177
1712136384.1950607,69,-0.8362345099449158
1712136388.3325188,70,-1.0639846324920654
1712136391.7727454,71,-1.1139545440673828
1712136395.200934,72,-3.610990047454834
1712136398.6082146,73,-6.609611988067627
1712136402.0378046,74,-3.0203261375427246
1712136405.4612398,75,-7.9866814613342285
1712136408.918296,76,-12.672680854797363
1712136412.3459358,77,-15.066082954406738
1712136415.797628,78,-27.58475112915039
1712136419.224059,79,-18.022640228271484
1712136423.3358715,80,-20.545452117919922
1712136426.8168745,81,-30.958559036254883
1712136430.2361288,82,-23.6285457611084
1712136433.6523294,83,-26.166244506835938
1712136437.0892298,84,-31.246440887451172
1712136440.5028222,85,-22.992942810058594
1712136443.918893,86,-27.729267120361328
1712136447.342895,87,-24.913358688354492
1712136450.733262,88,-34.39241027832031
1712136454.1917624,89,-24.958681106567383
1712136458.2677195,90,-30.676345825195312
1712136461.7004325,91,-40.638221740722656
1712136465.0957694,92,-37.894222259521484
1712136468.512386,93,-35.41817092895508
1712136471.942159,94,-40.784278869628906
1712136475.3664732,95,-39.28302001953125
1712136478.8166564,96,-30.667476654052734
1712136482.3000076,97,-26.286653518676758
1712136485.7065353,98,-29.879024505615234
1712136489.1417453,99,-43.7847900390625
1712136493.2332096,100,-29.566450119018555
1712136496.6791933,101,-32.57019805908203
1712136500.1196537,102,-35.88544845581055
1712136503.532686,103,-34.31984329223633
1712136506.950539,104,-22.118562698364258
1712136512.4494274,105,-40.103851318359375
1712136515.8416107,106,-36.61146545410156
1712136519.2472427,107,-29.421974182128906
1712136522.6762757,108,-29.800830841064453
1712136526.111171,109,-40.78041076660156
1712136530.1352205,110,-34.23358154296875
1712136533.5451243,111,-33.23809051513672
1712136536.9830852,112,-37.58559799194336
1712136540.4116611,113,-30.410114288330078
1712136543.8927598,114,-32.986839294433594
1712136547.3802557,115,-29.850133895874023
1712136550.8686528,116,-28.8304443359375
1712136554.2898843,117,-24.30029296875
1712136557.701997,118,-34.91261291503906
1712136561.1114154,119,-35.114295959472656
1712136565.1268198,120,-25.019344329833984
1712136568.560009,121,-26.797649383544922
1712136571.980749,122,-32.84156036376953
1712136575.396329,123,-36.236671447753906
1712136578.8110693,124,-28.508808135986328
1712136582.2502005,125,-25.701648712158203
1712136585.6223698,126,-29.297731399536133
1712136589.0182571,127,-21.043773651123047
1712136592.4702258,128,-30.794700622558594
1712136595.886628,129,-35.84719467163086
1712136599.907565,130,-30.09503936767578
1712136603.5721612,131,-35.4799919128418
1712136607.0087655,132,-33.035011291503906
1712136610.447113,133,-28.97643280029297
1712136613.8761485,134,-31.53110694885254
1712136617.3099127,135,-30.179210662841797
1712136620.7484035,136,-32.87195587158203
1712136624.2057273,137,-30.06966781616211
1712136627.6409628,138,-28.73647117614746
1712136631.1035411,139,-26.428586959838867
1712136635.1247268,140,-28.122356414794922
1712136638.5519655,141,-29.374858856201172
1712136641.985868,142,-27.728809356689453
1712136645.4186883,143,-26.222930908203125
1712136648.8493218,144,-32.091880798339844
1712136652.2851002,145,-27.176097869873047
1712136655.7151144,146,-28.764720916748047
1712136659.162339,147,-28.56843376159668
1712136662.617273,148,-27.790252685546875
1712136666.0662608,149,-29.273418426513672
1712136670.1318789,150,-27.175697326660156
1712136673.5700436,151,-21.52276611328125
1712136676.99246,152,-26.739553451538086
1712136680.4055185,153,-28.330608367919922
1712136683.8651516,154,-27.007762908935547
1712136687.2591126,155,-24.741361618041992
1712136690.6746686,156,-24.760971069335938
1712136694.1370497,157,-26.588329315185547
1712136699.140063,158,-29.2581729888916
1712136702.6032453,159,-22.874343872070312
1712136706.5774438,160,-24.267684936523438
1712136710.0483947,161,-22.555683135986328
1712136713.4655943,162,-30.927974700927734
1712136716.8924465,163,-27.60965347290039
1712136720.3412488,164,-20.392505645751953
1712136723.7902787,165,-18.396066665649414
1712136727.2559278,166,-29.044193267822266
1712136730.7063398,167,-33.92081832885742
1712136734.1691308,168,-27.256961822509766
1712136737.6227658,169,-24.919002532958984
1712136741.620858,170,-14.457759857177734
1712136745.0706854,171,-23.032299041748047
1712136748.5025096,172,-25.054885864257812
1712136751.9889174,173,-21.967117309570312
1712136755.4434435,174,-29.13562774658203
1712136758.8764493,175,-26.86026954650879
1712136762.3364847,176,-21.820775985717773
1712136765.7662458,177,-23.137523651123047
1712136769.1827693,178,-24.43996810913086
1712136772.5950181,179,-26.47008514404297
1712136776.614514,180,-24.725542068481445
1712136779.9997048,181,-28.19426918029785
1712136783.416079,182,-26.79825782775879
1712136786.8164568,183,-23.529251098632812
1712136790.262121,184,-29.908845901489258
1712136793.6964147,185,-26.070072174072266
1712136797.0861568,186,-18.75959587097168
1712136802.1302216,187,-28.066593170166016
1712136805.5285969,188,-26.329246520996094
1712136808.9793825,189,-21.028278350830078
1712136812.9666007,190,-25.778532028198242
1712136816.4324007,191,-23.788286209106445
1712136819.905805,192,-24.676424026489258
1712136823.3437715,193,-26.76055908203125
1712136826.8369186,194,-27.102127075195312
1712136830.2796206,195,-23.625356674194336
1712136833.697415,196,-21.232288360595703
1712136837.1397645,197,-27.905010223388672
1712136840.559531,198,-23.92237091064453
1712136844.014734,199,-28.311628341674805
1712136848.0413737,200,-20.39870834350586
1712136851.5064492,201,-24.049013137817383
1712136854.9380975,202,-25.450342178344727
1712136858.3512793,203,-22.095687866210938
1712136861.760408,204,-23.660654067993164
1712136865.1775317,205,-26.560379028320312
1712136868.6141975,206,-21.974546432495117
1712136872.019223,207,-28.42534637451172
1712136875.4289198,208,-21.97474479675293
1712136878.8578997,209,-23.899002075195312
1712136882.8645704,210,-28.8756103515625
1712136886.2993093,211,-25.57346534729004
1712136889.7001486,212,-25.062992095947266
1712136893.1037204,213,-24.00753402709961
1712136896.4947455,214,-17.72810173034668
1712136899.9021165,215,-20.804317474365234
1712136903.3518324,216,-22.682708740234375
1712136906.7432566,217,-21.907299041748047
1712136910.1554701,218,-27.572168350219727
1712136913.558277,219,-24.19644546508789
1712136917.5254965,220,-22.2131290435791
1712136920.8993623,221,-25.7592830657959
1712136924.2872503,222,-22.616182327270508
1712136927.7041757,223,-21.21540641784668
1712136931.1585915,224,-26.452428817749023
1712136934.545557,225,-16.669666290283203
1712136937.9091957,226,-23.236360549926758
1712136941.310172,227,-25.42889404296875
1712136944.7170103,228,-21.684690475463867
1712136948.1126719,229,-20.786087036132812
1712136952.0633535,230,-24.192405700683594
1712136955.4387956,231,-24.664154052734375
1712136958.8311698,232,-25.802894592285156
1712136962.246215,233,-20.717914581298828
1712136965.6441374,234,-25.061552047729492
1712136969.052446,235,-22.49687957763672
1712136972.4974415,236,-22.138418197631836
1712136975.8738601,237,-25.54691505432129
1712136979.2780545,238,-21.70130729675293
1712136982.6553013,239,-25.41012954711914
