Wall time,Step,Value
1712136139.6216774,0,-1229.288818359375
1712136143.5140831,1,-1150.397705078125
1712136147.075023,2,-1115.90234375
1712136150.586698,3,-1107.53564453125
1712136154.0942438,4,-921.17138671875
1712136157.6227818,5,-982.0216064453125
1712136161.1501112,6,-671.37353515625
1712136164.650984,7,-808.36181640625
1712136168.1646302,8,-692.5859375
1712136171.6723986,9,-590.0421142578125
1712136176.7879517,10,-554.0400390625
1712136180.2827296,11,-584.6688232421875
1712136183.8786855,12,-539.0789794921875
1712136187.4426856,13,-482.400390625
1712136190.9027984,14,-418.14727783203125
1712136194.3707943,15,-419.4110107421875
1712136197.796962,16,-459.4208679199219
1712136201.235406,17,-441.6455078125
1712136204.677526,18,-419.9250793457031
1712136208.1204371,19,-402.57275390625
1712136212.3635802,20,-341.2022705078125
1712136215.7944884,21,-431.6251220703125
1712136219.2561262,22,-345.6951599121094
1712136222.6763008,23,-363.68017578125
1712136226.1267765,24,-337.166259765625
1712136229.5517952,25,-304.49664306640625
1712136233.0613365,26,-333.39410400390625
1712136236.5228324,27,-333.0320739746094
1712136239.9601963,28,-261.0660400390625
1712136243.4588149,29,-322.208984375
1712136247.6956997,30,-315.74114990234375
1712136251.1414945,31,-265.7929992675781
1712136254.594334,32,-263.1549072265625
1712136258.0453143,33,-270.3419189453125
1712136261.525095,34,-246.8121337890625
1712136264.9863257,35,-252.29396057128906
1712136268.445594,36,-263.62261962890625
1712136271.9017248,37,-245.12994384765625
1712136275.355046,38,-263.8306884765625
1712136278.796153,39,-261.04437255859375
1712136282.984745,40,-274.0926513671875
1712136286.4122481,41,-251.71434020996094
1712136289.8713956,42,-293.0732421875
1712136293.2753627,43,-258.763671875
1712136296.6952097,44,-233.57894897460938
1712136300.161217,45,-222.22813415527344
1712136303.573427,46,-240.56118774414062
1712136307.0256467,47,-248.7296142578125
1712136310.5332348,48,-232.1231689453125
1712136313.9412527,49,-220.2197723388672
1712136318.1089551,50,-224.4725341796875
1712136321.5462449,51,-220.9884033203125
1712136324.9702084,52,-229.25616455078125
1712136328.3958142,53,-252.58877563476562
1712136331.8838487,54,-224.87632751464844
1712136335.3274453,55,-253.3297119140625
1712136338.771253,56,-220.32675170898438
1712136342.1975596,57,-192.8466796875
1712136345.6086195,58,-210.13165283203125
1712136349.0094306,59,-190.2710418701172
1712136353.1270862,60,-172.07916259765625
1712136356.5634155,61,-235.09500122070312
1712136360.027104,62,-241.18588256835938
1712136363.5093682,63,-217.47647094726562
1712136366.9783082,64,-215.60552978515625
1712136370.4425657,65,-160.7595977783203
1712136373.8765655,66,-162.360595703125
1712136377.3099248,67,-249.4130096435547
1712136380.7369094,68,-149.29449462890625
1712136384.195172,69,-210.62155151367188
1712136388.3326225,70,-325.751220703125
1712136391.7728739,71,-201.4221649169922
1712136395.2010536,72,-172.56105041503906
1712136398.608327,73,-119.52348327636719
1712136402.0379086,74,-208.88427734375
1712136405.4613414,75,-232.94049072265625
1712136408.918435,76,-84.06282043457031
1712136412.346064,77,-75.94470977783203
1712136415.7977295,78,-125.67889404296875
1712136419.2241685,79,-39.31657409667969
1712136423.3359802,80,-121.00239562988281
1712136426.816986,81,-40.27427291870117
1712136430.2362404,82,-325.778076171875
1712136433.6524744,83,-13.289705276489258
1712136437.0893476,84,-28.50003433227539
1712136440.5029254,85,-246.51425170898438
1712136443.9190915,86,-70.41761779785156
1712136447.343013,87,-37.73930740356445
1712136450.733411,88,-18.544776916503906
1712136454.1918714,89,-181.74656677246094
1712136458.267831,90,-22.276641845703125
1712136461.7005355,91,-86.56539916992188
1712136465.0958722,92,-67.4073257446289
1712136468.5125217,93,-52.577632904052734
1712136471.942262,94,-46.78809356689453
1712136475.3665872,95,-71.13470458984375
1712136478.816759,96,-64.96580505371094
1712136482.3001142,97,-35.678504943847656
1712136485.7066395,98,33.843257904052734
1712136489.1419108,99,-28.13393783569336
1712136493.2333188,100,-26.692276000976562
1712136496.679299,101,-38.963233947753906
1712136500.119777,102,-13.700021743774414
1712136503.5327902,103,-39.855594635009766
1712136506.9506433,104,-1.9303300380706787
1712136512.4495306,105,2.4319958686828613
1712136515.8417222,106,-36.10626220703125
1712136519.2473776,107,-29.98171615600586
1712136522.676385,108,-40.07713317871094
1712136526.1112761,109,-5.947383880615234
1712136530.1353278,110,3.563826084136963
1712136533.545246,111,-35.00940704345703
1712136536.9831996,112,-12.516427993774414
1712136540.4117806,113,-32.23876953125
1712136543.8928704,114,-22.82107162475586
1712136547.3803928,115,-10.023183822631836
1712136550.8687549,116,-43.75395202636719
1712136554.290006,117,19.411678314208984
1712136557.7021284,118,-35.26215744018555
1712136561.1115527,119,-26.874141693115234
1712136565.1269305,120,-7.264179706573486
1712136568.5601175,121,-11.755056381225586
1712136571.9808855,122,-52.44512176513672
1712136575.3964546,123,-40.88501739501953
1712136578.811182,124,-49.60138702392578
1712136582.2503145,125,12.137625694274902
1712136585.6224692,126,-45.29957580566406
1712136589.0183618,127,-36.43769836425781
1712136592.4703314,128,-29.17055892944336
1712136595.8867435,129,-11.148344993591309
1712136599.9076686,130,-22.250293731689453
1712136603.5722768,131,-96.47692108154297
1712136607.0089014,132,17.166887283325195
1712136610.4472246,133,-22.140079498291016
1712136613.876266,134,11.392721176147461
1712136617.3100257,135,-21.424911499023438
1712136620.7485168,136,-28.598209381103516
1712136624.2058604,137,-21.115577697753906
1712136627.6410809,138,-14.952583312988281
1712136631.1036441,139,-21.457420349121094
1712136635.1248271,140,-5.3235907554626465
