Wall time,Step,Value
1711719054.7710745,0,-41882.5
1711719058.3775215,1,-65692.2734375
1711719062.0372677,2,-67561.46875
1711719065.7493284,3,-65379.8984375
1711719069.499247,4,-65088.1796875
1711719073.137326,5,-69710.484375
1711719076.7748232,6,-69872.53125
1711719080.4044878,7,-73306.1171875
1711719084.0096602,8,-76059.8046875
1711719087.6001902,9,-77583.9375
1711719091.9689057,10,-80600.4609375
1711719095.5848904,11,-78416.0
1711719099.2323854,12,-84700.890625
1711719102.8828523,13,-76231.09375
1711719106.5022879,14,-63816.40234375
1711719110.129307,15,-67534.3359375
1711719113.7719188,16,-70943.0625
1711719117.3889413,17,-44077.5234375
1711719121.0011425,18,-27380.22265625
1711719124.616272,19,-24383.1953125
1711719128.8699827,20,-23319.5390625
1711719132.5233366,21,-31532.529296875
1711719136.1704683,22,-49312.46875
1711719139.7984955,23,-22236.28125
1711719143.4426951,24,-23887.546875
1711719147.0505936,25,-20480.490234375
1711719150.682029,26,-17426.34765625
1711719154.28173,27,-18481.84375
1711719157.8770306,28,-21229.0859375
1711719161.5625918,29,-30545.23046875
1711719165.8600605,30,-30037.421875
1711719169.481433,31,-22925.75390625
1711719173.0928435,32,-24417.95703125
1711719176.7132282,33,-13281.9267578125
1711719180.316566,34,-7315.966796875
1711719183.9366395,35,-4925.2568359375
1711719187.5800931,36,-9429.7890625
1711719191.1849725,37,-11587.9765625
1711719194.8010802,38,-20360.921875
1711719198.428546,39,-15313.09375
1711719202.724187,40,-11228.494140625
1711719206.326014,41,-8918.1767578125
1711719209.9558723,42,-7001.376953125
1711719213.61653,43,-7026.8779296875
1711719217.3098285,44,-6870.88671875
1711719220.9948866,45,-6485.17431640625
1711719224.7039764,46,-6799.138671875
1711719228.4314141,47,-6499.51513671875
1711719232.1430657,48,-3593.57177734375
1711719235.8026388,49,-4820.5830078125
1711719240.0531058,50,-2913.740234375
1711719243.6898046,51,-1800.266845703125
1711719247.3095555,52,-2905.35595703125
1711719250.9826462,53,-1446.739990234375
1711719254.615246,54,-2374.256591796875
1711719258.2314487,55,-219.75741577148438
1711719261.9575534,56,-25.214468002319336
1711719265.614859,57,1048.604248046875
1711719269.24107,58,686.6094970703125
1711719272.8615994,59,93.99964141845703
1711719277.1242416,60,230.40713500976562
1711719280.7960403,61,107.11123657226562
1711719284.4004173,62,2.489734411239624
1711719288.0224075,63,5.8782548904418945
1711719291.645879,64,6.279913902282715
1711719295.2775376,65,20.465164184570312
1711719298.9148138,66,23.106319427490234
1711719302.5454311,67,-15.836894989013672
1711719306.1486316,68,83.72724151611328
1711719309.8029108,69,-2.266688346862793
1711719314.0267942,70,-38.418670654296875
1711719317.6379867,71,-8.406139373779297
1711719321.2661796,72,-1.5048820972442627
1711719324.9127405,73,-0.0433296263217926
1711719328.5564017,74,-0.03436888009309769
1711719332.2044938,75,-0.31671369075775146
1711719335.8481457,76,-0.4478045701980591
1711719339.5027106,77,-4.763882637023926
1711719343.1157982,78,-8.547121047973633
1711719346.748575,79,-44.52356719970703
1711719351.02234,80,-13.463555335998535
1711719354.6260338,81,-6.462128639221191
1711719358.219317,82,-4.743913650512695
1711719361.84813,83,17.16767120361328
1711719365.4772654,84,-283.6139831542969
1711719369.0854988,85,-708.629638671875
1711719372.740621,86,-882.2987060546875
1711719376.3841748,87,-918.5453491210938
1711719380.0221255,88,-988.3047485351562
1711719383.6661053,89,-961.8062744140625
1711719387.8921719,90,-963.8026733398438
1711719391.5300477,91,-426.62957763671875
1711719395.1509094,92,-617.3426513671875
1711719398.8014386,93,-230.33119201660156
1711719402.581357,94,-1114.95751953125
1711719406.23448,95,-495.34124755859375
1711719409.8678265,96,212.90196228027344
1711719413.4942324,97,82.42913818359375
1711719417.1151154,98,-780.6070556640625
1711719420.7710564,99,-368.11370849609375
1711719425.0342185,100,-540.9331665039062
1711719428.652708,101,-110.18223571777344
1711719432.2531192,102,-569.6435546875
1711719435.868034,103,-509.51287841796875
1711719439.5016093,104,-1321.395263671875
1711719443.1436765,105,-133.4916229248047
1711719446.7415352,106,-649.418701171875
1711719450.429548,107,-397.97503662109375
1711719454.0599985,108,-424.76861572265625
1711719457.671111,109,-390.67022705078125
1711719461.9132383,110,-1316.1734619140625
1711719465.5855634,111,119.59706115722656
1711719469.2355204,112,-357.003662109375
1711719472.8910108,113,-773.4864501953125
1711719476.4946663,114,-200.63522338867188
1711719480.1095304,115,-524.882080078125
1711719483.7657049,116,163.837646484375
1711719487.3631794,117,-923.2679443359375
1711719491.0037181,118,-267.5502014160156
1711719494.6350503,119,-170.33204650878906
1711719498.8773541,120,-316.87921142578125
1711719502.5274642,121,-560.111328125
1711719506.1727564,122,-399.3299865722656
1711719509.810681,123,-270.6941223144531
1711719513.4645422,124,-495.63763427734375
1711719517.098432,125,-103.08465576171875
1711719520.7428226,126,-535.4833374023438
1711719524.3541236,127,-844.455322265625
1711719528.022411,128,-39.2206916809082
1711719531.7265124,129,-235.67884826660156
1711719536.0178707,130,-220.5805206298828
1711719539.6460059,131,-164.3047332763672
1711719543.360406,132,-691.177490234375
1711719546.9611657,133,-54.63942337036133
1711719550.6127338,134,-1179.9091796875
1711719554.286734,135,29.068687438964844
1711719557.9552684,136,-613.8959350585938
1711719561.589192,137,308.39788818359375
1711719565.2445204,138,-409.9100646972656
1711719568.8880625,139,-632.2899780273438
1711719573.1011596,140,-273.4580993652344
1711719576.6829271,141,-471.97332763671875
1711719580.3569593,142,-130.24075317382812
1711719583.9718468,143,-581.0018920898438
1711719587.6239095,144,-688.605712890625
1711719591.2467775,145,20.625991821289062
1711719594.8641763,146,-305.3778076171875
1711719598.5407639,147,-731.392333984375
1711719602.2888658,148,-505.5153503417969
1711719605.951016,149,-561.9829711914062
1711719610.182801,150,-171.8663330078125
1711719613.840606,151,101.69979095458984
1711719617.529714,152,-236.88719177246094
1711719621.200665,153,26.607154846191406
1711719624.8258662,154,-784.08447265625
1711719628.4567134,155,-736.8372802734375
1711719632.1094923,156,-111.19573974609375
1711719635.7098157,157,-355.10064697265625
1711719639.3679845,158,167.81948852539062
1711719642.9703178,159,-433.62310791015625
1711719647.1502717,160,-85.73655700683594
1711719650.8010187,161,-986.4327392578125
1711719654.4106722,162,378.63861083984375
1711719658.0386672,163,-115.98384094238281
1711719661.7269747,164,-645.6461181640625
1711719665.352617,165,-700.90087890625
1711719668.9608207,166,-361.9951171875
1711719672.6072834,167,-773.1019287109375
1711719676.2150362,168,-478.9969787597656
1711719679.8526516,169,39.92705535888672
1711719684.0426042,170,-858.1485595703125
1711719687.6340435,171,-159.0482635498047
1711719691.2224178,172,-87.98727416992188
1711719694.882346,173,-344.1067810058594
1711719698.5417628,174,-260.8020324707031
1711719702.220074,175,-672.712890625
1711719705.8355017,176,-44.33660888671875
1711719709.4982703,177,134.20404052734375
1711719713.1365092,178,-778.189697265625
1711719716.7085714,179,126.00691986083984
1711719720.904589,180,-518.1700439453125
1711719724.53655,181,-849.8309326171875
1711719728.1265833,182,239.78892517089844
1711719731.7343092,183,-319.8791198730469
1711719735.357042,184,-302.40997314453125
1711719738.9890692,185,-289.78277587890625
1711719742.6276262,186,-211.9189453125
1711719746.2109928,187,-359.3551025390625
1711719749.8478293,188,-633.7843627929688
1711719753.5200102,189,-587.7314453125
1711719757.7561116,190,-84.50883483886719
1711719761.395037,191,-378.3457946777344
1711719764.9964802,192,-501.97979736328125
1711719768.6814556,193,-667.6700439453125
1711719772.3215764,194,-81.69783020019531
1711719775.9127727,195,-108.80741119384766
1711719779.522165,196,-117.12773895263672
1711719783.1488078,197,-596.4678955078125
1711719786.832001,198,-569.4993896484375
1711719790.50783,199,-882.7546997070312
1711719794.7527928,200,-688.3033447265625
1711719798.39057,201,-608.3927612304688
1711719802.0514858,202,-608.885986328125
1711719805.7029655,203,-611.91650390625
1711719809.348635,204,328.87750244140625
1711719812.9718897,205,-88.8304443359375
1711719816.5956633,206,-243.44091796875
1711719820.246858,207,-602.67138671875
1711719823.8752184,208,-252.89959716796875
1711719827.52045,209,189.04090881347656
1711719831.719468,210,-517.3026123046875
1711719835.3787909,211,192.26136779785156
1711719839.0251694,212,-398.47564697265625
1711719842.65029,213,-661.9364013671875
1711719846.339257,214,258.9344482421875
1711719850.022656,215,-832.892578125
1711719853.664817,216,-440.46539306640625
1711719857.2639022,217,-667.835693359375
1711719860.9083111,218,-697.3707275390625
1711719864.5249245,219,-635.339599609375
1711719868.67942,220,-508.7567138671875
1711719872.3320403,221,103.1810073852539
1711719875.9486644,222,-263.04351806640625
1711719879.5704532,223,25.9912166595459
1711719883.237637,224,217.0531463623047
1711719886.9141772,225,-344.546142578125
1711719890.5870192,226,-38.184722900390625
1711719894.2849264,227,-683.56103515625
1711719897.9148092,228,-463.16436767578125
1711719901.5895033,229,83.96638488769531
1711719905.777184,230,146.7095947265625
1711719909.4639676,231,-729.45703125
1711719913.168561,232,-586.615234375
1711719916.8116562,233,-365.4976806640625
1711719920.4287972,234,80.4549789428711
1711719924.0705304,235,144.4708251953125
